dataset,document_id,year,taxon_scope,relevance_class,entity,entity_type,title
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,saxitoxin,TOXIN,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,stx,TOXIN,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxta,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxta4,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxtb,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxtd,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxtg,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxth,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxti,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxts,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxtu,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxt genes,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,saxitoxin biosynthesis genes,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
dino_post2015,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,dinoflagellate,DINO_TAXON,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
