dataset,document_id,year,taxon_scope,relevance_class,entity,entity_type,title
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,saxitoxin,TOXIN,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,stx,TOXIN,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxta,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxta4,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxtb,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxtd,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxtg,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxth,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxti,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxts,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxtu,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,sxt genes,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,saxitoxin biosynthesis genes,SXT_GENE,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,dinoflagellate,DINO_TAXON,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,dinoflagellates,DINO_TAXON,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,alexandrium,DINO_TAXON,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,cyanobacteria,CYANO_TAXON,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,biosynthesis,BIOLOGICAL_PROCESS,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,saxitoxin biosynthesis,BIOLOGICAL_PROCESS,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,expression,BIOLOGICAL_PROCESS,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,transcriptome,BIOLOGICAL_PROCESS,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,phylogeny,BIOLOGICAL_PROCESS,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,phylogenetic,BIOLOGICAL_PROCESS,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000001,2024.0,cross_taxa,high_confidence_stx_biosynthesis,horizontal gene transfer,BIOLOGICAL_PROCESS,Polyphyletic origin of saxitoxin biosynthesis genes in the marine dinoflagellate Alexandrium revealed by comparative transcriptomics.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,saxitoxin,TOXIN,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,stx,TOXIN,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,paralytic shellfish poisoning,TOXIN,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,sxta,SXT_GENE,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,sxta4,SXT_GENE,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,sxtb,SXT_GENE,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,sxtg,SXT_GENE,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,sxti,SXT_GENE,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,sxts,SXT_GENE,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,sxtu,SXT_GENE,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,sxt genes,SXT_GENE,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,saxitoxin biosynthesis genes,SXT_GENE,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
cyano_all,STX_DOC_000002,2025.0,cross_taxa,high_confidence_stx_biosynthesis,dinoflagellate,DINO_TAXON,Transcriptomic comparison unveils saxitoxin biosynthesis genes in the marine dinoflagellate Gymnodinium catenatum.
