K,Hits,Precision,Recall,Random_Mean_Precision,Random_SD_Precision,Enrichment_vs_Random,Empirical_P
10,8,0.8,0.05128205128205128,0.7236100000000001,0.13728602494523806,1.1055679164190655,0.44545545445455453
20,17,0.85,0.10897435897435898,0.723335,0.09587307724118367,1.175112499740784,0.14108589141085892
50,44,0.88,0.28205128205128205,0.722614,0.05562298441866962,1.2178009282964348,0.0022997700229977
100,79,0.79,0.5064102564102564,0.7227030000000001,0.03313658996275018,1.0931184732870902,0.029997000299970003
200,146,0.73,0.9358974358974359,0.7220455,0.008654242852031263,1.0110166187587901,0.2585741425857414
