dataset,document_id,year,taxon_scope,relevance_class,entity,entity_type,title
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,cyanobacteria,CYANO_TAXON,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,cyanobacterium,CYANO_TAXON,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,cylindrospermopsis,CYANO_TAXON,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,expression,BIOLOGICAL_PROCESS,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,lc-ms,DETECTION_METHOD,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,lc-ms/ms,DETECTION_METHOD,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria
dino_pre2016,STX_DOC_000007,2015.0,cross_taxa,high_confidence_stx_biosynthesis,mass spectrometry,DETECTION_METHOD,Transport of saxitoxin (stx) and its analogues in filamentous freshwater cyanobacteria
dino_pre2016,STX_DOC_000009,2010.0,cross_taxa,high_confidence_stx_biosynthesis,saxitoxin,TOXIN,Neurotoxic alkaloids: saxitoxin and its analogs.
dino_pre2016,STX_DOC_000009,2010.0,cross_taxa,high_confidence_stx_biosynthesis,stx,TOXIN,Neurotoxic alkaloids: saxitoxin and its analogs.
dino_pre2016,STX_DOC_000009,2010.0,cross_taxa,high_confidence_stx_biosynthesis,paralytic shellfish toxins,TOXIN,Neurotoxic alkaloids: saxitoxin and its analogs.
dino_pre2016,STX_DOC_000009,2010.0,cross_taxa,high_confidence_stx_biosynthesis,pst,TOXIN,Neurotoxic alkaloids: saxitoxin and its analogs.
dino_pre2016,STX_DOC_000009,2010.0,cross_taxa,high_confidence_stx_biosynthesis,psts,TOXIN,Neurotoxic alkaloids: saxitoxin and its analogs.
dino_pre2016,STX_DOC_000009,2010.0,cross_taxa,high_confidence_stx_biosynthesis,paralytic shellfish poisoning,TOXIN,Neurotoxic alkaloids: saxitoxin and its analogs.
dino_pre2016,STX_DOC_000009,2010.0,cross_taxa,high_confidence_stx_biosynthesis,dinoflagellates,DINO_TAXON,Neurotoxic alkaloids: saxitoxin and its analogs.
dino_pre2016,STX_DOC_000009,2010.0,cross_taxa,high_confidence_stx_biosynthesis,alexandrium,DINO_TAXON,Neurotoxic alkaloids: saxitoxin and its analogs.
dino_pre2016,STX_DOC_000009,2010.0,cross_taxa,high_confidence_stx_biosynthesis,gymnodinium,DINO_TAXON,Neurotoxic alkaloids: saxitoxin and its analogs.
