edge_key,source,target,source_type,target_type,post2015_relation,dino_post_weight,cyano_prior_weight,dino_pre_prior_weight,in_cyano_prior,in_dino_pre_prior,transfer_type,transfer_support_score
alexandrium||biosynthesis,alexandrium,biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,53,20.0,22.0,1,1,cyano_and_dino_prior_signal,42.0
cyanobacterial||toxin_production,cyanobacterial,toxin_production,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,1,38.0,3.0,1,1,cyano_and_dino_prior_signal,41.0
saxitoxin||saxitoxin_biosynthesis,saxitoxin,saxitoxin_biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,26,26.0,14.0,1,1,cyano_and_dino_prior_signal,40.0
biosynthesis||saxitoxin_biosynthesis,biosynthesis,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,26,26.0,13.0,1,1,cyano_and_dino_prior_signal,39.0
dinoflagellates||toxin_production,dinoflagellates,toxin_production,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,27,12.0,26.0,1,1,cyano_and_dino_prior_signal,38.0
paralytic_shellfish_toxins||toxin_production,paralytic_shellfish_toxins,toxin_production,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,23,14.0,23.0,1,1,cyano_and_dino_prior_signal,37.0
biosynthesis||toxin_biosynthesis,biosynthesis,toxin_biosynthesis,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,23,26.0,10.0,1,1,cyano_and_dino_prior_signal,36.0
dinoflagellates||phylogenetic,dinoflagellates,phylogenetic,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,16,16.0,20.0,1,1,cyano_and_dino_prior_signal,36.0
alexandrium_tamarense||toxicity,alexandrium_tamarense,toxicity,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,4,0.0,36.0,0,1,dino_prior_only_signal,36.0
dinoflagellate||sxta,sxta,dinoflagellate,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,33,17.0,18.0,1,1,cyano_and_dino_prior_signal,35.0
dinoflagellate||expression,dinoflagellate,expression,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,28,12.0,23.0,1,1,cyano_and_dino_prior_signal,35.0
dinoflagellates||expression,dinoflagellates,expression,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,27,23.0,12.0,1,1,cyano_and_dino_prior_signal,35.0
alexandrium||sxta,sxta,alexandrium,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,41,15.0,19.0,1,1,cyano_and_dino_prior_signal,34.0
alexandrium||expression,alexandrium,expression,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,34,13.0,21.0,1,1,cyano_and_dino_prior_signal,34.0
cylindrospermopsis||toxicity,cylindrospermopsis,toxicity,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,1,31.0,3.0,1,1,cyano_and_dino_prior_signal,34.0
biosynthesis||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,23,21.0,12.0,1,1,cyano_and_dino_prior_signal,33.0
saxitoxin||sxt_genes,saxitoxin,sxt_genes,TOXIN,SXT_GENE,gene_associated_with_toxin,19,27.0,6.0,1,1,cyano_and_dino_prior_signal,33.0
cyanobacteria||regulation,cyanobacteria,regulation,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,8,29.0,4.0,1,1,cyano_and_dino_prior_signal,33.0
harmful_algal_bloom||saxitoxin,saxitoxin,harmful_algal_bloom,TOXIN,ENV_FACTOR,environment_associated_with_toxin;process_associated_with_toxin,20,18.0,14.0,1,1,cyano_and_dino_prior_signal,32.0
paralytic_shellfish_poisoning||toxin_production,paralytic_shellfish_poisoning,toxin_production,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,10,11.0,20.0,1,1,cyano_and_dino_prior_signal,31.0
cyanobacteria||saxitoxin_biosynthesis,cyanobacteria,saxitoxin_biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,11,23.0,7.0,1,1,cyano_and_dino_prior_signal,30.0
bloom||harmful_algal_bloom,bloom,harmful_algal_bloom,ENV_FACTOR,ENV_FACTOR,environment_associated_with_process;semantic_cooccurrence,26,12.0,17.0,1,1,cyano_and_dino_prior_signal,29.0
biosynthesis||expression,biosynthesis,expression,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,25,20.0,9.0,1,1,cyano_and_dino_prior_signal,29.0
expression||paralytic_shellfish_toxins,paralytic_shellfish_toxins,expression,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,15,16.0,13.0,1,1,cyano_and_dino_prior_signal,29.0
biosynthesis||bloom,bloom,biosynthesis,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,12,26.0,3.0,1,1,cyano_and_dino_prior_signal,29.0
cyanobacteria||sxt_genes,sxt_genes,cyanobacteria,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,10,26.0,3.0,1,1,cyano_and_dino_prior_signal,29.0
evolution||saxitoxin,saxitoxin,evolution,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,8,13.0,16.0,1,1,cyano_and_dino_prior_signal,29.0
temperature||toxicity,temperature,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,19,14.0,14.0,1,1,cyano_and_dino_prior_signal,28.0
biosynthesis||sxt_genes,sxt_genes,biosynthesis,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,18,22.0,6.0,1,1,cyano_and_dino_prior_signal,28.0
regulation||saxitoxin,saxitoxin,regulation,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,18,20.0,8.0,1,1,cyano_and_dino_prior_signal,28.0
cyanobacterial||phylogenetic,cyanobacterial,phylogenetic,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,2,25.0,3.0,1,1,cyano_and_dino_prior_signal,28.0
cyanobacteria||toxin_biosynthesis,cyanobacteria,toxin_biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,9,22.0,5.0,1,1,cyano_and_dino_prior_signal,27.0
paralytic_shellfish_poisoning||phylogenetic,paralytic_shellfish_poisoning,phylogenetic,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,5,12.0,15.0,1,1,cyano_and_dino_prior_signal,27.0
gymnodinium||toxicity,gymnodinium,toxicity,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,19,3.0,23.0,1,1,cyano_and_dino_prior_signal,26.0
paralytic_shellfish_poisoning||sxta,paralytic_shellfish_poisoning,sxta,TOXIN,SXT_GENE,gene_associated_with_toxin,18,16.0,10.0,1,1,cyano_and_dino_prior_signal,26.0
biosynthesis||phylogenetic,biosynthesis,phylogenetic,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,10,20.0,6.0,1,1,cyano_and_dino_prior_signal,26.0
anabaena||biosynthesis,anabaena,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,3,23.0,3.0,1,1,cyano_and_dino_prior_signal,26.0
dinoflagellate||phylogenetic,dinoflagellate,phylogenetic,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,11,9.0,16.0,1,1,cyano_and_dino_prior_signal,25.0
gonyautoxin||toxicity,gonyautoxin,toxicity,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,5,5.0,20.0,1,1,cyano_and_dino_prior_signal,25.0
nutrient||toxicity,nutrient,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,13,14.0,10.0,1,1,cyano_and_dino_prior_signal,24.0
expression||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,expression,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,13,11.0,13.0,1,1,cyano_and_dino_prior_signal,24.0
expression||sxta,sxta,expression,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,25,17.0,6.0,1,1,cyano_and_dino_prior_signal,23.0
biosynthesis||toxicity,biosynthesis,toxicity,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,20,17.0,6.0,1,1,cyano_and_dino_prior_signal,23.0
bloom||toxin_production,bloom,toxin_production,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,14,18.0,5.0,1,1,cyano_and_dino_prior_signal,23.0
paralytic_shellfish_toxins||toxin_biosynthesis,paralytic_shellfish_toxins,toxin_biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,12,16.0,7.0,1,1,cyano_and_dino_prior_signal,23.0
nutrient||toxin_production,nutrient,toxin_production,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,12,11.0,12.0,1,1,cyano_and_dino_prior_signal,23.0
nitrogen||toxicity,nitrogen,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,8,12.0,11.0,1,1,cyano_and_dino_prior_signal,23.0
paralytic_shellfish_toxins||sxta,paralytic_shellfish_toxins,sxta,TOXIN,SXT_GENE,gene_associated_with_toxin,17,14.0,8.0,1,1,cyano_and_dino_prior_signal,22.0
cyanobacteria||evolution,cyanobacteria,evolution,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,4,16.0,6.0,1,1,cyano_and_dino_prior_signal,22.0
phylogeny||saxitoxin,saxitoxin,phylogeny,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,3,12.0,10.0,1,1,cyano_and_dino_prior_signal,22.0
dinoflagellates||regulation,dinoflagellates,regulation,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,19,11.0,10.0,1,1,cyano_and_dino_prior_signal,21.0
dinoflagellates||toxin_biosynthesis,dinoflagellates,toxin_biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,15,14.0,7.0,1,1,cyano_and_dino_prior_signal,21.0
gene_expression||saxitoxin,saxitoxin,gene_expression,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,13,14.0,7.0,1,1,cyano_and_dino_prior_signal,21.0
alexandrium||phylogenetic,alexandrium,phylogenetic,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,13,6.0,15.0,1,1,cyano_and_dino_prior_signal,21.0
cyanobacteria||harmful_algal_bloom,cyanobacteria,harmful_algal_bloom,CYANO_TAXON,BIOLOGICAL_PROCESS,semantic_cooccurrence;taxon_associated_with_process,13,20.0,1.0,1,1,cyano_and_dino_prior_signal,21.0
nitrogen||toxin_production,nitrogen,toxin_production,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,11,12.0,9.0,1,1,cyano_and_dino_prior_signal,21.0
biosynthesis||cyanobacterium,cyanobacterium,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,3,20.0,1.0,1,1,cyano_and_dino_prior_signal,21.0
cyanobacterium||toxin_production,cyanobacterium,toxin_production,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,1,19.0,2.0,1,1,cyano_and_dino_prior_signal,21.0
sxta||sxtg,sxta,sxtg,SXT_GENE,SXT_GENE,semantic_cooccurrence,20,14.0,6.0,1,1,cyano_and_dino_prior_signal,20.0
alexandrium||regulation,alexandrium,regulation,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,18,5.0,15.0,1,1,cyano_and_dino_prior_signal,20.0
dinoflagellate||regulation,dinoflagellate,regulation,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,18,7.0,13.0,1,1,cyano_and_dino_prior_signal,20.0
dinoflagellates||saxitoxin_biosynthesis,dinoflagellates,saxitoxin_biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,17,12.0,8.0,1,1,cyano_and_dino_prior_signal,20.0
alexandrium||harmful_algal_bloom,alexandrium,harmful_algal_bloom,DINO_TAXON,BIOLOGICAL_PROCESS,semantic_cooccurrence;taxon_associated_with_process,16,2.0,18.0,1,1,cyano_and_dino_prior_signal,20.0
biosynthesis||toxin_production,biosynthesis,toxin_production,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,15,12.0,8.0,1,1,cyano_and_dino_prior_signal,20.0
saxitoxin||toxin_biosynthesis,saxitoxin,toxin_biosynthesis,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,15,17.0,3.0,1,1,cyano_and_dino_prior_signal,20.0
alexandrium_minutum||toxin_production,alexandrium_minutum,toxin_production,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,9,5.0,15.0,1,1,cyano_and_dino_prior_signal,20.0
phylogenetic||sxta,sxta,phylogenetic,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,7,15.0,5.0,1,1,cyano_and_dino_prior_signal,20.0
neosaxitoxin||toxicity,neosaxitoxin,toxicity,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,6,9.0,11.0,1,1,cyano_and_dino_prior_signal,20.0
cyanobacteria||gene_expression,cyanobacteria,gene_expression,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,5,17.0,3.0,1,1,cyano_and_dino_prior_signal,20.0
phylogenetic||toxicity,phylogenetic,toxicity,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,5,12.0,8.0,1,1,cyano_and_dino_prior_signal,20.0
cyanobacterial||regulation,cyanobacterial,regulation,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,2,18.0,2.0,1,1,cyano_and_dino_prior_signal,20.0
cyanobacterial||expression,cyanobacterial,expression,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,2,16.0,4.0,1,1,cyano_and_dino_prior_signal,20.0
gymnodinium_catenatum||toxicity,gymnodinium_catenatum,toxicity,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,16,0.0,19.0,0,1,dino_prior_only_signal,19.0
bloom||sxta,sxta,bloom,SXT_GENE,ENV_FACTOR,semantic_cooccurrence,13,16.0,3.0,1,1,cyano_and_dino_prior_signal,19.0
dinoflagellates||evolution,dinoflagellates,evolution,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,10,9.0,10.0,1,1,cyano_and_dino_prior_signal,19.0
cyanobacteria||sxtg,sxtg,cyanobacteria,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,7,16.0,3.0,1,1,cyano_and_dino_prior_signal,19.0
aphanizomenon||biosynthesis,aphanizomenon,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,2,17.0,2.0,1,1,cyano_and_dino_prior_signal,19.0
dinoflagellate||saxitoxin_biosynthesis,dinoflagellate,saxitoxin_biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,18,9.0,9.0,1,1,cyano_and_dino_prior_signal,18.0
sxt_genes||sxta,sxta,sxt_genes,SXT_GENE,SXT_GENE,semantic_cooccurrence,11,15.0,3.0,1,1,cyano_and_dino_prior_signal,18.0
paralytic_shellfish_toxins||phylogenetic,paralytic_shellfish_toxins,phylogenetic,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,8,11.0,7.0,1,1,cyano_and_dino_prior_signal,18.0
cyanobacteria||sxti,sxti,cyanobacteria,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,7,17.0,1.0,1,1,cyano_and_dino_prior_signal,18.0
biosynthesis||evolution,biosynthesis,evolution,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,6,11.0,7.0,1,1,cyano_and_dino_prior_signal,18.0
cyanobacteria||horizontal_gene_transfer,cyanobacteria,horizontal_gene_transfer,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,5,13.0,5.0,1,1,cyano_and_dino_prior_signal,18.0
biosynthesis||cylindrospermopsis,cylindrospermopsis,biosynthesis,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,2,16.0,2.0,1,1,cyano_and_dino_prior_signal,18.0
gtx||toxicity,gtx,toxicity,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,2,1.0,17.0,1,1,cyano_and_dino_prior_signal,18.0
aphanizomenon||sxta,sxta,aphanizomenon,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,1,17.0,1.0,1,1,cyano_and_dino_prior_signal,18.0
cylindrospermopsis||sxta,sxta,cylindrospermopsis,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,1,15.0,3.0,1,1,cyano_and_dino_prior_signal,18.0
saxitoxin||sxtg,saxitoxin,sxtg,TOXIN,SXT_GENE,gene_associated_with_toxin,19,12.0,5.0,1,1,cyano_and_dino_prior_signal,17.0
dinoflagellates||sxt_genes,sxt_genes,dinoflagellates,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,18,13.0,4.0,1,1,cyano_and_dino_prior_signal,17.0
dinoflagellate||toxin_biosynthesis,dinoflagellate,toxin_biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,16,10.0,7.0,1,1,cyano_and_dino_prior_signal,17.0
harmful_algal_bloom||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,harmful_algal_bloom,TOXIN,ENV_FACTOR,environment_associated_with_toxin;process_associated_with_toxin,14,7.0,10.0,1,1,cyano_and_dino_prior_signal,17.0
dinoflagellate||transcriptome,dinoflagellate,transcriptome,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,14,10.0,7.0,1,1,cyano_and_dino_prior_signal,17.0
dinoflagellate||gene_expression,dinoflagellate,gene_expression,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,9,6.0,11.0,1,1,cyano_and_dino_prior_signal,17.0
alexandrium||gene_expression,alexandrium,gene_expression,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,9,6.0,11.0,1,1,cyano_and_dino_prior_signal,17.0
horizontal_gene_transfer||saxitoxin,saxitoxin,horizontal_gene_transfer,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,6,12.0,5.0,1,1,cyano_and_dino_prior_signal,17.0
climate||toxicity,climate,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,6,12.0,5.0,1,1,cyano_and_dino_prior_signal,17.0
biosynthesis||horizontal_gene_transfer,biosynthesis,horizontal_gene_transfer,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,5,12.0,5.0,1,1,cyano_and_dino_prior_signal,17.0
alexandrium_minutum||toxicity,alexandrium_minutum,toxicity,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,5,1.0,16.0,1,1,cyano_and_dino_prior_signal,17.0
alexandrium_tamarense||toxin_production,alexandrium_tamarense,toxin_production,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,3,1.0,16.0,1,1,cyano_and_dino_prior_signal,17.0
cyanobacterium||phylogenetic,cyanobacterium,phylogenetic,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,2,16.0,1.0,1,1,cyano_and_dino_prior_signal,17.0
biosynthesis||sxtg,sxtg,biosynthesis,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,19,12.0,4.0,1,1,cyano_and_dino_prior_signal,16.0
alexandrium||saxitoxin_biosynthesis,alexandrium,saxitoxin_biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,19,6.0,10.0,1,1,cyano_and_dino_prior_signal,16.0
dinoflagellates||sxtg,sxtg,dinoflagellates,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,19,11.0,5.0,1,1,cyano_and_dino_prior_signal,16.0
biosynthesis||regulation,biosynthesis,regulation,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,16,11.0,5.0,1,1,cyano_and_dino_prior_signal,16.0
saxitoxin_biosynthesis||sxta,sxta,saxitoxin_biosynthesis,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,15,10.0,6.0,1,1,cyano_and_dino_prior_signal,16.0
biosynthesis||nitrogen,nitrogen,biosynthesis,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,11,13.0,3.0,1,1,cyano_and_dino_prior_signal,16.0
saxitoxin||sxti,saxitoxin,sxti,TOXIN,SXT_GENE,gene_associated_with_toxin,8,15.0,1.0,1,1,cyano_and_dino_prior_signal,16.0
nitrate||toxicity,nitrate,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,8,4.0,12.0,1,1,cyano_and_dino_prior_signal,16.0
nitrate||toxin_production,nitrate,toxin_production,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,7,5.0,11.0,1,1,cyano_and_dino_prior_signal,16.0
dinoflagellate||evolution,dinoflagellate,evolution,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,7,5.0,11.0,1,1,cyano_and_dino_prior_signal,16.0
light||toxin_production,light,toxin_production,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,4,4.0,12.0,1,1,cyano_and_dino_prior_signal,16.0
dinoflagellate||sxt_genes,sxt_genes,dinoflagellate,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,17,10.0,5.0,1,1,cyano_and_dino_prior_signal,15.0
sxta||toxin_production,sxta,toxin_production,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,11,12.0,3.0,1,1,cyano_and_dino_prior_signal,15.0
saxitoxin_biosynthesis||sxt_genes,sxt_genes,saxitoxin_biosynthesis,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,11,11.0,4.0,1,1,cyano_and_dino_prior_signal,15.0
sxta||sxti,sxta,sxti,SXT_GENE,SXT_GENE,semantic_cooccurrence,9,14.0,1.0,1,1,cyano_and_dino_prior_signal,15.0
