Node,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
alexandrium,-0.10651592910289764,-0.18153254687786102,0.32961133122444153,-0.09201286733150482,0.04171048849821091,0.06138642132282257,0.04778672382235527,-0.061080168932676315,-0.09635894000530243,-0.025538139045238495,-0.11986733227968216,0.15063953399658203,0.19273380935192108,0.03297115117311478,-0.07929648458957672,-0.25942203402519226,0.1273038387298584,0.12162235379219055,-0.19219402968883514,0.16321417689323425,0.07658502459526062,0.11116490513086319,-0.011743547394871712,-0.0944930762052536,0.20926646888256073,-0.0849684402346611,0.023825442418456078,0.11340446770191193,0.07169773429632187,0.07840421050786972,-0.3770695924758911,-0.13850714266300201,-0.011365837417542934,-0.1752432882785797,0.13544027507305145,-0.3240010440349579,0.26111605763435364,0.033351361751556396,0.11950527131557465,0.0733589380979538,-0.016494397073984146,-0.044246379286050797,0.24980519711971283,0.06657380610704422,-0.04397517442703247,0.15340927243232727,-0.09367305785417557,-0.019470643252134323,-0.09695670008659363,-0.12490902096033096,0.18715505301952362,0.009843399748206139,0.16080915927886963,-0.2527042627334595,-0.22675181925296783,-0.09178934246301651,0.10661494731903076,-0.2143372744321823,-0.24555620551109314,-0.06196606904268265,0.00143623526673764,-0.0672769546508789,0.09998567402362823,0.24928370118141174
dinoflagellates,-0.01724531129002571,-0.3514414429664612,0.3040575683116913,-0.07457369565963745,-0.06728900969028473,-0.0008983195875771344,0.054891783744096756,-0.057438358664512634,-0.23755842447280884,-0.08471101522445679,-0.12095339596271515,0.11954541504383087,-0.033144280314445496,-0.03902192786335945,-0.15532900393009186,0.0835324302315712,0.0904548391699791,-0.051567669957876205,-0.10411856323480606,0.06908366084098816,0.08237985521554947,-0.06047676131129265,-0.07629755139350891,-0.06657836586236954,0.1455013006925583,0.034814998507499695,-0.24931447207927704,0.020001592114567757,0.0010625967988744378,0.06994146853685379,-0.15302234888076782,-0.1047358363866806,-0.24839740991592407,-0.09949768334627151,0.12142649292945862,-0.1606852263212204,0.3453900218009949,-0.0962633267045021,0.08732843399047852,0.1559995412826538,-0.25639650225639343,-0.15612775087356567,0.1884056031703949,0.20347504317760468,0.11685673147439957,0.16824719309806824,-0.0683295950293541,-0.06563708931207657,-0.18935884535312653,-0.03656516969203949,0.06499526649713516,0.10357645899057388,0.017406567931175232,-0.27963393926620483,-0.3055255115032196,-0.2378438264131546,0.18819738924503326,-0.11965567618608475,0.006847864016890526,-0.0472387932240963,-0.12651480734348297,0.26628270745277405,-0.037116724997758865,0.11223678290843964
paralytic shellfish toxins,0.12315021455287933,-0.3047395646572113,0.06575093418359756,-0.12190621346235275,-0.11855772137641907,0.06749578565359116,0.056237075477838516,-0.00295627280138433,0.029819607734680176,-0.08377543091773987,-0.10727689415216446,0.061937298625707626,0.14900581538677216,-0.2079993486404419,-0.1579747498035431,0.08095931261777878,0.12722820043563843,0.30793988704681396,-0.11633023619651794,0.46597638726234436,0.09854041039943695,-0.2203550785779953,-0.17075155675411224,0.1505722850561142,0.24153383076190948,-0.19552132487297058,0.03098822571337223,0.29473477602005005,-0.2095828354358673,0.20682044327259064,-0.17841683328151703,-0.09393788874149323,-0.09493917226791382,-0.19977718591690063,-0.17282822728157043,-0.2123318910598755,0.07978447526693344,-0.03724580630660057,-0.10571165382862091,-0.04143689572811127,-0.24324221909046173,-0.2093043029308319,0.1287892460823059,0.10157657414674759,-0.0449846014380455,0.2823246121406555,-0.15030667185783386,-0.044674597680568695,-0.0670735239982605,-0.1584286391735077,0.00560529762879014,-0.0012775770155712962,0.23285441100597382,-0.36350017786026,-0.04246512055397034,-0.09289029985666275,-0.04211929440498352,-0.029062451794743538,-0.10227276384830475,-0.061083536595106125,-0.0890505462884903,0.0894453227519989,0.1421433687210083,0.14566408097743988
saxitoxin,-0.20032410323619843,-0.2048553079366684,0.38316771388053894,-0.12542252242565155,-0.2149471640586853,0.009921165183186531,0.054822783917188644,-0.019224246963858604,-0.23902392387390137,-0.0523417629301548,-0.09308651089668274,-0.04992733895778656,0.07282088696956635,0.021837959066033363,-0.20583456754684448,0.15718023478984833,0.10748842358589172,0.17815718054771423,-0.13549044728279114,0.051671721041202545,0.06762906908988953,-0.1352570354938507,0.005230238661170006,-0.07802446186542511,0.11936982721090317,-0.0730251595377922,-0.12090514600276947,-0.05519193410873413,-0.132713183760643,-0.1423933506011963,-0.02907320111989975,-0.09234379976987839,-0.2555617690086365,-0.12872834503650665,0.08054202049970627,-0.08379238098859787,0.34244436025619507,-0.269585520029068,0.06220322474837303,0.0012310665333643556,-0.10302422195672989,-0.10133964568376541,0.11940670758485794,-0.04071681573987007,0.14773070812225342,0.18762612342834473,-0.019217053428292274,-0.26066291332244873,-0.2799648642539978,-0.14681732654571533,0.016066664829850197,0.0239737406373024,0.04161316156387329,-0.3773970305919647,-0.08559272438287735,-0.25235670804977417,0.16579873859882355,-0.037789225578308105,0.014145770110189915,-0.07636761665344238,-0.11423276364803314,0.22876591980457306,0.08719281852245331,0.1124686747789383
toxin profile,0.19598619639873505,-0.30075404047966003,-0.00661444989964366,-0.17938397824764252,0.04570756480097771,-0.014859931543469429,-0.09778618067502975,0.06868452578783035,0.30108779668807983,-0.013016742654144764,-0.1115490272641182,0.18642978370189667,0.2919420897960663,-0.06991904973983765,-0.1409776359796524,-0.10536199808120728,-0.1534355878829956,0.38592860102653503,-0.19719497859477997,0.20397910475730896,0.07082811743021011,0.08946017920970917,-0.1218952164053917,-0.2179565280675888,0.04523909091949463,-0.2170029878616333,0.028196584433317184,0.16082367300987244,-0.021795378997921944,0.29250994324684143,-0.10582562536001205,0.023728860542178154,-0.06364405155181885,0.0985104888677597,-0.2409408688545227,-0.01746300794184208,0.29290738701820374,0.11329571157693863,0.1665651649236679,0.05927861109375954,-0.061940938234329224,-0.18450945615768433,0.06685907393693924,0.05522887408733368,0.17055316269397736,0.3424111604690552,-0.23807093501091003,-0.027740664780139923,-0.08722878247499466,-0.37985414266586304,0.0517054907977581,0.1295662373304367,0.07898273319005966,-0.33398985862731934,0.025863680988550186,0.13398738205432892,0.01143884751945734,-0.07854893058538437,0.30560731887817383,-0.2316599190235138,-0.0018711367156356573,0.043264634907245636,0.2712487280368805,0.2808308005332947
toxin production,-0.3813132643699646,-0.2521989643573761,0.257931649684906,0.20735225081443787,0.05648233741521835,-0.021646054461598396,0.0038504633121192455,-0.2528526484966278,-0.15387995541095734,-0.19363313913345337,0.016375677660107613,-0.007395490538328886,-0.23921579122543335,-0.10269595682621002,0.03216142579913139,-0.26043701171875,-0.2927660644054413,0.07304080575704575,-0.07151181250810623,0.32306134700775146,0.11504852771759033,-0.11790143698453903,-0.06742476671934128,-0.14147169888019562,0.08816695958375931,0.11130514740943909,-0.16547246277332306,0.1672162264585495,-0.13779452443122864,-0.06112072616815567,-0.36210307478904724,-0.15137837827205658,-0.0664733424782753,0.005139465443789959,0.19752056896686554,-0.24067410826683044,0.3534161448478699,0.1642179787158966,0.07137861102819443,-0.08003367483615875,-0.03185237571597099,-0.052445124834775925,0.06112868711352348,0.054201144725084305,-0.09874453395605087,0.14723174273967743,-0.3616867959499359,-0.12085124850273132,0.010417954996228218,-0.2815159559249878,-0.121493861079216,0.1458822339773178,-0.09933469444513321,-0.24765998125076294,-0.20144955813884735,-0.05321564897894859,-0.055370185524225235,-0.21158680319786072,-0.020822128280997276,-0.184110626578331,-0.005847444292157888,0.07531506568193436,-0.1883557289838791,0.3743732273578644
gymnodinium catenatum,0.4657260775566101,-0.30181264877319336,0.2286829799413681,0.11023905873298645,0.05269080772995949,-0.13107512891292572,0.04776047542691231,0.18216656148433685,-0.19463683664798737,-0.1996370404958725,-0.1437382996082306,-0.012597981840372086,0.20475007593631744,-0.22460997104644775,0.005277569405734539,0.13547585904598236,-0.1390254646539688,0.189666748046875,-0.06661248952150345,0.12976279854774475,0.10994095355272293,0.015309822745621204,0.03192327171564102,0.190189391374588,0.1122613176703453,-0.2597024440765381,0.21821707487106323,-0.15813370048999786,-0.1351984441280365,0.09779766201972961,0.07062391936779022,-0.1185447946190834,-0.12669901549816132,0.24582359194755554,-0.3413310647010803,-0.08657584339380264,0.17583532631397247,0.17468780279159546,-0.11007536947727203,0.16185936331748962,-0.17664851248264313,-0.15194565057754517,0.22847141325473785,0.3416241705417633,0.20660172402858734,0.1844748556613922,0.11251029372215271,-0.2695912718772888,-0.04408882185816765,-0.24538536369800568,0.11166900396347046,-0.026196343824267387,0.07775087654590607,-0.23817893862724304,-0.2720162868499756,-0.048161666840314865,-0.2124900072813034,0.08660739660263062,0.4192979633808136,-0.3318440020084381,-0.24090243875980377,0.042390938848257065,0.19370198249816895,0.31805261969566345
paralytic shellfish poisoning,-0.0733570083975792,-0.5117928385734558,0.19821061193943024,-0.07978925853967667,0.037353191524744034,0.3361150920391083,-0.09962231665849686,-0.0805249884724617,-0.10444537550210953,0.03351670503616333,-0.08904610574245453,0.10515566170215607,0.024734608829021454,-0.1732170134782791,-0.1695937216281891,0.037038177251815796,0.2607799172401428,0.10895834863185883,-0.174045592546463,0.15366287529468536,0.23354865610599518,-0.1623266637325287,-0.1311296820640564,0.05613352358341217,0.4009314775466919,-0.18138228356838226,0.01144380122423172,-0.08044380694627762,-0.03798799589276314,0.05736323446035385,-0.1167449876666069,-0.2804518938064575,-0.2218378484249115,-0.02605130337178707,-0.044930797070264816,-0.06899610161781311,-0.025414999574422836,-0.25879788398742676,0.24353215098381042,0.04880097135901451,-0.222560852766037,-0.2539130449295044,0.18413721024990082,-0.05673087760806084,-0.12956951558589935,0.3150555491447449,-0.09442459046840668,-0.2044772207736969,-0.10022615641355515,-0.17242860794067383,-0.08685646206140518,0.14463216066360474,0.14782147109508514,-0.16596412658691406,-0.025466402992606163,-0.14553146064281464,0.18762677907943726,-0.031108861789107323,0.09229355305433273,-0.09491349756717682,-0.04958932101726532,0.2916330397129059,-0.023690080270171165,-0.10642722249031067
alexandrium tamarense,-0.01838775910437107,0.05586428567767143,0.2644787132740021,-0.034055497497320175,0.18922452628612518,0.08648653328418732,-0.03924206271767616,-0.13958315551280975,0.24931414425373077,0.13945382833480835,0.17625358700752258,-0.09840020537376404,0.20612671971321106,0.02613520808517933,0.1838921457529068,-0.2320990264415741,0.2736310064792633,0.16322578489780426,-0.17055922746658325,0.06702608615159988,-0.03416883200407028,0.2418341040611267,-0.4965994358062744,-0.412540078163147,0.37914010882377625,-0.23566848039627075,0.01035091932862997,0.2561272978782654,-0.15870672464370728,0.0018374314531683922,-0.1016293317079544,0.02531769685447216,-0.20844542980194092,-0.15755437314510345,-0.1072649285197258,-0.13747186958789825,0.015472723171114922,-0.04780544340610504,0.1312766820192337,0.193665012717247,0.11368808895349503,-0.08352644741535187,-0.004039086867123842,0.16220487654209137,-0.3273157477378845,0.2944391965866089,-0.24270834028720856,-0.0904260203242302,-0.06203946843743324,-0.3225423991680145,-0.07187522947788239,0.13866151869297028,0.1020868793129921,-0.22573314607143402,-0.10499640554189682,-0.3945595622062683,0.37227195501327515,-0.08699305355548859,-0.1234332025051117,-0.30273571610450745,-0.24676339328289032,0.2657729983329773,0.12889334559440613,0.127750426530838
alexandrium catenella,-0.006359711289405823,-0.09728080779314041,0.018747394904494286,0.00205613998696208,-0.06260974705219269,-0.08453153073787689,-0.10688559710979462,0.14701218903064728,-0.048374708741903305,0.11008927971124649,-0.3230421841144562,0.045609064400196075,0.10937674343585968,-0.0785030648112297,0.018773946911096573,-0.3099222183227539,0.09736164659261703,0.2436424195766449,0.33179953694343567,0.14596322178840637,0.04504954814910889,0.04734985530376434,-0.25037872791290283,0.10491090267896652,-0.1884739249944687,-0.26914986968040466,0.07987172901630402,0.01855207420885563,-0.13869915902614594,0.22113554179668427,-0.2019566148519516,-0.17680567502975464,0.044110335409641266,-0.34678927063941956,0.18563881516456604,-0.08773946017026901,0.37298649549484253,-0.1476825326681137,0.03792620450258255,0.30927518010139465,-0.3532535433769226,0.0034851310774683952,-0.09076322615146637,0.06273335963487625,-0.16095757484436035,0.3434557318687439,0.21929991245269775,0.19382159411907196,-0.23148785531520844,-0.2681090831756592,0.05358336493372917,-0.23049814999103546,0.08085411787033081,-0.23238389194011688,-0.3722020983695984,-0.1090327650308609,0.11239837110042572,-0.2484043836593628,-0.21388255059719086,0.0683760717511177,-0.18558616936206818,0.2672578990459442,0.3288745582103729,0.10362610965967178
