dataset,source,source_type,target,target_type,relation,weight,support_documents
dino_pre2016,alexandrium tamarense,DINO_TAXON,paralytic_shellfish_poisoning,TOXIN,taxon_associated_with_toxin,38,STX_DOC_000035;STX_DOC_000036;STX_DOC_000062;STX_DOC_000078;STX_DOC_000127;STX_DOC_000184;STX_DOC_000187;STX_DOC_000192;STX_DOC_000317;STX_DOC_000321;STX_DOC_000331;STX_DOC_000385;STX_DOC_000429;STX_DOC_000430;STX_DOC_000442;STX_DOC_000497;STX_DOC_000508;STX_DOC_000514;STX_DOC_000590;STX_DOC_000656;STX_DOC_000658;STX_DOC_000660;STX_DOC_000675;STX_DOC_000755;STX_DOC_000758;STX_DOC_000760;STX_DOC_000829;STX_DOC_000939;STX_DOC_000955;STX_DOC_000958;STX_DOC_000965;STX_DOC_001067;STX_DOC_001080;STX_DOC_001085;STX_DOC_001095;STX_DOC_001203;STX_DOC_001297;STX_DOC_001313
dino_pre2016,pyrodinium,DINO_TAXON,pyrodinium bahamense,DINO_TAXON,semantic_cooccurrence,36,STX_DOC_000022;STX_DOC_000028;STX_DOC_000054;STX_DOC_000055;STX_DOC_000099;STX_DOC_000116;STX_DOC_000142;STX_DOC_000153;STX_DOC_000222;STX_DOC_000247;STX_DOC_000290;STX_DOC_000292;STX_DOC_000293;STX_DOC_000320;STX_DOC_000353;STX_DOC_000574;STX_DOC_000581;STX_DOC_000582;STX_DOC_000593;STX_DOC_000594;STX_DOC_000596;STX_DOC_000661;STX_DOC_000662;STX_DOC_000664;STX_DOC_000726;STX_DOC_000771;STX_DOC_000772;STX_DOC_000774;STX_DOC_000828;STX_DOC_000848;STX_DOC_000960;STX_DOC_001106;STX_DOC_001180;STX_DOC_001187;STX_DOC_001338;STX_DOC_001339
dino_pre2016,alexandrium tamarense,DINO_TAXON,paralytic_shellfish_toxins,TOXIN,taxon_associated_with_toxin,36,STX_DOC_000029;STX_DOC_000030;STX_DOC_000050;STX_DOC_000078;STX_DOC_000113;STX_DOC_000119;STX_DOC_000120;STX_DOC_000127;STX_DOC_000184;STX_DOC_000219;STX_DOC_000251;STX_DOC_000280;STX_DOC_000321;STX_DOC_000340;STX_DOC_000341;STX_DOC_000343;STX_DOC_000348;STX_DOC_000350;STX_DOC_000505;STX_DOC_000591;STX_DOC_000656;STX_DOC_000657;STX_DOC_000660;STX_DOC_000663;STX_DOC_000668;STX_DOC_000674;STX_DOC_000737;STX_DOC_000760;STX_DOC_000939;STX_DOC_000949;STX_DOC_000983;STX_DOC_001087;STX_DOC_001093;STX_DOC_001271;STX_DOC_001279;STX_DOC_001312
dino_pre2016,alexandrium tamarense,DINO_TAXON,toxicity,BIOLOGICAL_PROCESS,semantic_cooccurrence,36,STX_DOC_000035;STX_DOC_000036;STX_DOC_000050;STX_DOC_000062;STX_DOC_000078;STX_DOC_000120;STX_DOC_000127;STX_DOC_000187;STX_DOC_000219;STX_DOC_000294;STX_DOC_000295;STX_DOC_000296;STX_DOC_000331;STX_DOC_000332;STX_DOC_000334;STX_DOC_000350;STX_DOC_000430;STX_DOC_000447;STX_DOC_000497;STX_DOC_000501;STX_DOC_000502;STX_DOC_000505;STX_DOC_000508;STX_DOC_000590;STX_DOC_000660;STX_DOC_000667;STX_DOC_000674;STX_DOC_000675;STX_DOC_000737;STX_DOC_000939;STX_DOC_000958;STX_DOC_000972;STX_DOC_001080;STX_DOC_001093;STX_DOC_001733;STX_DOC_001744
dino_pre2016,gonyautoxin,TOXIN,saxitoxin,TOXIN,semantic_cooccurrence,35,STX_DOC_000024;STX_DOC_000029;STX_DOC_000030;STX_DOC_000045;STX_DOC_000054;STX_DOC_000055;STX_DOC_000060;STX_DOC_000062;STX_DOC_000080;STX_DOC_000095;STX_DOC_000096;STX_DOC_000117;STX_DOC_000125;STX_DOC_000146;STX_DOC_000152;STX_DOC_000153;STX_DOC_000169;STX_DOC_000187;STX_DOC_000211;STX_DOC_000214;STX_DOC_000218;STX_DOC_000222;STX_DOC_000248;STX_DOC_000287;STX_DOC_000288;STX_DOC_000296;STX_DOC_000350;STX_DOC_000352;STX_DOC_000353;STX_DOC_000395;STX_DOC_000569;STX_DOC_000597;STX_DOC_000601;STX_DOC_000602;STX_DOC_000603
dino_pre2016,dinoflagellate,DINO_TAXON,mouse_bioassay,DETECTION_METHOD,semantic_cooccurrence,35,STX_DOC_000096;STX_DOC_000127;STX_DOC_000151;STX_DOC_000195;STX_DOC_000218;STX_DOC_000250;STX_DOC_000253;STX_DOC_000290;STX_DOC_000292;STX_DOC_000332;STX_DOC_000334;STX_DOC_000350;STX_DOC_000569;STX_DOC_000570;STX_DOC_000588;STX_DOC_000589;STX_DOC_000597;STX_DOC_000670;STX_DOC_000676;STX_DOC_000765;STX_DOC_000770;STX_DOC_000776;STX_DOC_000844;STX_DOC_000850;STX_DOC_000860;STX_DOC_000868;STX_DOC_000882;STX_DOC_000964;STX_DOC_000971;STX_DOC_000973;STX_DOC_000975;STX_DOC_001198;STX_DOC_001211;STX_DOC_001491;STX_DOC_001501
dino_pre2016,alexandrium tamarense,DINO_TAXON,saxitoxin,TOXIN,taxon_associated_with_toxin,35,STX_DOC_000029;STX_DOC_000030;STX_DOC_000035;STX_DOC_000036;STX_DOC_000050;STX_DOC_000053;STX_DOC_000062;STX_DOC_000120;STX_DOC_000127;STX_DOC_000184;STX_DOC_000187;STX_DOC_000192;STX_DOC_000285;STX_DOC_000296;STX_DOC_000317;STX_DOC_000325;STX_DOC_000331;STX_DOC_000340;STX_DOC_000341;STX_DOC_000343;STX_DOC_000350;STX_DOC_000430;STX_DOC_000431;STX_DOC_000442;STX_DOC_000573;STX_DOC_000656;STX_DOC_000658;STX_DOC_000667;STX_DOC_000675;STX_DOC_000837;STX_DOC_000838;STX_DOC_000972;STX_DOC_000973;STX_DOC_000975;STX_DOC_001157
dino_pre2016,cyanobacteria,CYANO_TAXON,saxitoxin,TOXIN,semantic_cooccurrence,35,STX_DOC_000007;STX_DOC_000009;STX_DOC_000022;STX_DOC_000051;STX_DOC_000052;STX_DOC_000061;STX_DOC_000068;STX_DOC_000070;STX_DOC_000071;STX_DOC_000072;STX_DOC_000080;STX_DOC_000082;STX_DOC_000116;STX_DOC_000131;STX_DOC_000185;STX_DOC_000186;STX_DOC_000192;STX_DOC_000277;STX_DOC_000281;STX_DOC_000323;STX_DOC_000325;STX_DOC_000379;STX_DOC_000431;STX_DOC_000577;STX_DOC_000579;STX_DOC_000580;STX_DOC_000599;STX_DOC_000600;STX_DOC_000769;STX_DOC_000833;STX_DOC_000850;STX_DOC_001284;STX_DOC_001300;STX_DOC_001735;STX_DOC_001737
dino_pre2016,dinoflagellate,DINO_TAXON,pyrodinium,DINO_TAXON,semantic_cooccurrence,33,STX_DOC_000009;STX_DOC_000022;STX_DOC_000028;STX_DOC_000054;STX_DOC_000055;STX_DOC_000099;STX_DOC_000116;STX_DOC_000126;STX_DOC_000142;STX_DOC_000153;STX_DOC_000222;STX_DOC_000247;STX_DOC_000290;STX_DOC_000292;STX_DOC_000293;STX_DOC_000320;STX_DOC_000353;STX_DOC_000380;STX_DOC_000381;STX_DOC_000574;STX_DOC_000582;STX_DOC_000593;STX_DOC_000594;STX_DOC_000596;STX_DOC_000598;STX_DOC_000661;STX_DOC_000662;STX_DOC_000726;STX_DOC_000771;STX_DOC_000772;STX_DOC_000774;STX_DOC_001106;STX_DOC_001341
dino_pre2016,alexandrium,DINO_TAXON,alexandrium catenella,DINO_TAXON,semantic_cooccurrence,33,STX_DOC_000040;STX_DOC_000053;STX_DOC_000093;STX_DOC_000095;STX_DOC_000152;STX_DOC_000165;STX_DOC_000215;STX_DOC_000219;STX_DOC_000246;STX_DOC_000275;STX_DOC_000322;STX_DOC_000351;STX_DOC_000583;STX_DOC_000584;STX_DOC_000588;STX_DOC_000589;STX_DOC_000645;STX_DOC_000672;STX_DOC_000734;STX_DOC_000741;STX_DOC_000758;STX_DOC_000761;STX_DOC_000828;STX_DOC_000841;STX_DOC_000874;STX_DOC_000942;STX_DOC_000949;STX_DOC_000977;STX_DOC_000978;STX_DOC_001056;STX_DOC_001181;STX_DOC_001282;STX_DOC_001308
