Model,ROC_AUC,PR_AUC
RandomForest_OOF,0.9928645333374657,0.9924983786315587
GradientBoosting_OOF,0.9927649797399639,0.9928888423492501
LogisticRegression_OOF,0.9898306228037901,0.9904450361560045
