document_id,corpus_source,title,abstract,text,year,doi,pmid,url,source_db,query,relevance_score,relevance_class,taxon_scope,stx_term_count,gene_term_count,dinoflagellate_term_count,cyanobacteria_term_count,environment_term_count,matched_stx_terms,matched_gene_terms,matched_dinoflagellate_terms,matched_cyanobacteria_terms,matched_environment_terms,master_key,source_database,journal,corpus,openalex_id,doi_clean,pmid_clean,title_clean,dedup_key,paper_id,domain,group,collection,match_type
,manual_dinoflagellate_curation,Shellfish and Dinoflagellate Toxicity,"Oysters, clams, mussels, scallops, and, rarely, crustaceans, gastropods, and some fish may be contaminated by dinoflagellate or cyanobacteria toxins. Consumption of these marine food sources can cause poisoning, producing neurologic and gastrointestinal symptoms. The action sites of marine toxins include ion channels, kainate receptors, and protein phosphatases, which are crucial to nerve and muscle function. Disruption of these molecules' functions causes the symptoms observed in patients with shellfish toxicity. Shellfish poisoning may be classified into 4 clinical syndromes, depending on the specific etiology and clinical presentation: paralytic shellfish poisoning (PSP), neurotoxic shellfish poisoning (NSP), amnesic shellfish poisoning (ASP), and diarrheic shellfish poisoning (DSP). PSP is associated with saxitoxins. NSP is produced by brevetoxin. ASP is due to domoic acid ingestion. DSP is caused by okadaic acid. These toxins and their associated illnesses are related to harmful algal blooms.","Shellfish and Dinoflagellate Toxicity. Oysters, clams, mussels, scallops, and, rarely, crustaceans, gastropods, and some fish may be contaminated by dinoflagellate or cyanobacteria toxins. Consumption of these marine food sources can cause poisoning, producing neurologic and gastrointestinal symptoms. The action sites of marine toxins include ion channels, kainate receptors, and protein phosphatases, which are crucial to nerve and muscle function. Disruption of these molecules' functions causes the symptoms observed in patients with shellfish toxicity. Shellfish poisoning may be classified into 4 clinical syndromes, depending on the specific etiology and clinical presentation: paralytic shellfish poisoning (PSP), neurotoxic shellfish poisoning (NSP), amnesic shellfish poisoning (ASP), and diarrheic shellfish poisoning (DSP). PSP is associated with saxitoxins. NSP is produced by brevetoxin. ASP is due to domoic acid ingestion. DSP is caused by okadaic acid. These toxins and their associated illnesses are related to harmful algal blooms.",2026,,,,manual,manual_curated_dinoflagellate_stx,999,dinoflagellate_stx,dinoflagellate,,,,,,,,,,,title:shellfish and dinoflagellate toxicity,,StatPearls,,,,,shellfish and dinoflagellate toxicity,,P172,dinoflagellate,test,review,not_found
,manual_dinoflagellate_curation,Rapid Detection of Saxitoxin Using a Nucleic Acid Aptamer Biosensor Based on Graphene Oxide as a Fluorescence Quencher,"Saxitoxin (STX) is a toxin with paralyzing and lethal properties, necessitating the development of a simple analytical method. This study developed a ...","Rapid Detection of Saxitoxin Using a Nucleic Acid Aptamer Biosensor Based on Graphene Oxide as a Fluorescence Quencher. Saxitoxin (STX) is a toxin with paralyzing and lethal properties, necessitating the development of a simple analytical method. This study developed a ...",2025,,,,manual,manual_curated_dinoflagellate_stx,999,dinoflagellate_stx,dinoflagellate,,,,,,,,,,,title:rapid detection of saxitoxin using a nucleic acid aptamer biosensor based on graphene oxide as a fluorescence quencher,,Toxins,,,,,rapid detection of saxitoxin using a nucleic acid aptamer biosensor based on graphene oxide as a fluorescence quencher,,P017,dinoflagellate,test,detection,not_found
,manual_dinoflagellate_curation,"Paralytic Shellfish Toxins in Coastal Waters of Changdao Island (China): Toxin Profiles, Potential Producers, and Environmental Conditions","In recent decades, there have been frequent occurrences of paralytic shellfish toxin (PST) contamination in the Yellow and Bohai Seas, China. The waters around Changdao Island, situated at the convergence of these two seas, have suffered harmful algal blooms of Alexandrium spp., indicating a potential risk of PST contamination in shellfish. However, a systematic investigation and assessment of PSTs in this area is still lacking. The presence of PSTs in plankton concentrates and shellfish in coastal areas of Changdao Island was monitored from April to October 2022, using liquid chromatography-tandem mass spectrometry. The potential toxin-producing microalgae were analyzed, as were the environmental conditions associated with their occurrence. The highest levels of PSTs in plankton concentrates and shellfish were both observed in September, reaching levels of 105.8 ng STXeq./L and 114.7 ?g STXeq./kg, respectively. The main analogues were C1, C2, and GTX1-4. High-throughput analysis of the plankton concentrates identified eight species of Alexandrium, which are potential producers of PSTs. Sediment samples also revealed the presence of permanent cysts of Alexandrium. This research represents a significant advance in our understanding of the distribution and hypothetical sources of PSTs in the coastal waters of Changdao Island.","Paralytic Shellfish Toxins in Coastal Waters of Changdao Island (China): Toxin Profiles, Potential Producers, and Environmental Conditions. In recent decades, there have been frequent occurrences of paralytic shellfish toxin (PST) contamination in the Yellow and Bohai Seas, China. The waters around Changdao Island, situated at the convergence of these two seas, have suffered harmful algal blooms of Alexandrium spp., indicating a potential risk of PST contamination in shellfish. However, a systematic investigation and assessment of PSTs in this area is still lacking. The presence of PSTs in plankton concentrates and shellfish in coastal areas of Changdao Island was monitored from April to October 2022, using liquid chromatography-tandem mass spectrometry. The potential toxin-producing microalgae were analyzed, as were the environmental conditions associated with their occurrence. The highest levels of PSTs in plankton concentrates and shellfish were both observed in September, reaching levels of 105.8 ng STXeq./L and 114.7 ?g STXeq./kg, respectively. The main analogues were C1, C2, and GTX1-4. High-throughput analysis of the plankton concentrates identified eight species of Alexandrium, which are potential producers of PSTs. Sediment samples also revealed the presence of permanent cysts of Alexandrium. This research represents a significant advance in our understanding of the distribution and hypothetical sources of PSTs in the coastal waters of Changdao Island.",2025,,,,manual,manual_curated_dinoflagellate_stx,999,dinoflagellate_stx,dinoflagellate,,,,,,,,,,,title:paralytic shellfish toxins in coastal waters of changdao island china toxin profiles potential producers and environmental conditions,,Marine Drugs,,,,,paralytic shellfish toxins in coastal waters of changdao island china toxin profiles potential producers and environmental conditions,,P039,dinoflagellate,test,effect,not_found
,manual_dinoflagellate_curation,Multiple defense is an effective antipredator strategy in dinoflagellates,"Phytoplankton have evolved myriad defenses against predators; yet, studies that simultaneously test for defense fitness costs and benefits are rare. We tested for relative fitness costs and benefits of defense in the marine dinoflagellate Alexandrium catenella using a framework that relates growth rates of prey genotypes (strains) that differed in constitutive toxin production (low, moderate, and high) to predator (copepod) concentration. Our approach is based on a novel molecular technique that allows one to disentangle the effect of predation mortality from the cell growth reduction due to toxin production. Results show that the strain with the highest constitutive toxin production was the only one that expressed inducible toxin production-a strategy that paid off as its fitness benefit outweighed its cost. Surprisingly, the moderate toxin strain that derived the highest relative fitness benefit increased cell division rate (akin to compensatory growth) and decreased cell size, while keeping its volume-specific toxin production constant in response to predation. These results suggest an effective antipredator defense portfolio.","Multiple defense is an effective antipredator strategy in dinoflagellates. Phytoplankton have evolved myriad defenses against predators; yet, studies that simultaneously test for defense fitness costs and benefits are rare. We tested for relative fitness costs and benefits of defense in the marine dinoflagellate Alexandrium catenella using a framework that relates growth rates of prey genotypes (strains) that differed in constitutive toxin production (low, moderate, and high) to predator (copepod) concentration. Our approach is based on a novel molecular technique that allows one to disentangle the effect of predation mortality from the cell growth reduction due to toxin production. Results show that the strain with the highest constitutive toxin production was the only one that expressed inducible toxin production-a strategy that paid off as its fitness benefit outweighed its cost. Surprisingly, the moderate toxin strain that derived the highest relative fitness benefit increased cell division rate (akin to compensatory growth) and decreased cell size, while keeping its volume-specific toxin production constant in response to predation. These results suggest an effective antipredator defense portfolio.",2025,,,,manual,manual_curated_dinoflagellate_stx,999,dinoflagellate_stx,dinoflagellate,,,,,,,,,,,title:multiple defense is an effective antipredator strategy in dinoflagellates,,ISME communications,,,,,multiple defense is an effective antipredator strategy in dinoflagellates,,P069,dinoflagellate,test,environmental,not_found
,manual_dinoflagellate_curation,"Toxin production in bloom-forming, harmful alga Alexandrium pacificum (Group IV) is regulated by cyst formation-promoting bacteria Jannaschia cystaugens NBRC 100362T","Harmful algal blooms (HABs) caused by dinoflagellates like Alexandrium pacificum pose significant ecological and public health risks due to their production of paralytic shellfish toxins (PSTs). Bacterial populations, particularly Alexandrium cyst formation-promoting bacteria (Alex-CFPB), are known to significantly influence growth, encystment, toxin synthesis, the composition of toxic components, and bloom dynamics of these dinoflagellates. However, the role of Alex-CFPB in Alexandrium toxin synthesis and the mechanisms thereof are still unclear. Here, we show that co-culturing A. pacificum with cyst formation-promoting bacteria Jannaschia cystaugens significantly increases total intracellular PSTs content in the late stationary phase (including more cysts and less vegetable cells compared with axenic group). Our results demonstrate that the presence of J. cystaugens alters metabolic pathways in A. pacificum by upregulating key paralytic shellfish toxins synthesis genes and inducing downregulation of sulfotransferase sxtN (related to PSTs sulfation) which decreases sulfated PSTs components (low-toxicity), leading to an increase in high-toxicity PSTs content at a single-cell level. Furthermore, bacterial oxidative stress signals, nutrient competition, and quorum sensing contribute to increased toxin synthesis. These results provide insights into the major role of bacteria in modulating growth, physiology, and toxin production in bloom-forming algae, and the complex regulatory mechanisms therein. This study thus defines the critical function of microbial associations in bloom formation and toxin production with implications for managing HABs and mitigating their impacts.","Toxin production in bloom-forming, harmful alga Alexandrium pacificum (Group IV) is regulated by cyst formation-promoting bacteria Jannaschia cystaugens NBRC 100362T. Harmful algal blooms (HABs) caused by dinoflagellates like Alexandrium pacificum pose significant ecological and public health risks due to their production of paralytic shellfish toxins (PSTs). Bacterial populations, particularly Alexandrium cyst formation-promoting bacteria (Alex-CFPB), are known to significantly influence growth, encystment, toxin synthesis, the composition of toxic components, and bloom dynamics of these dinoflagellates. However, the role of Alex-CFPB in Alexandrium toxin synthesis and the mechanisms thereof are still unclear. Here, we show that co-culturing A. pacificum with cyst formation-promoting bacteria Jannaschia cystaugens significantly increases total intracellular PSTs content in the late stationary phase (including more cysts and less vegetable cells compared with axenic group). Our results demonstrate that the presence of J. cystaugens alters metabolic pathways in A. pacificum by upregulating key paralytic shellfish toxins synthesis genes and inducing downregulation of sulfotransferase sxtN (related to PSTs sulfation) which decreases sulfated PSTs components (low-toxicity), leading to an increase in high-toxicity PSTs content at a single-cell level. Furthermore, bacterial oxidative stress signals, nutrient competition, and quorum sensing contribute to increased toxin synthesis. These results provide insights into the major role of bacteria in modulating growth, physiology, and toxin production in bloom-forming algae, and the complex regulatory mechanisms therein. This study thus defines the critical function of microbial associations in bloom formation and toxin production with implications for managing HABs and mitigating their impacts.",2025,,,,manual,manual_curated_dinoflagellate_stx,999,dinoflagellate_stx,dinoflagellate,,,,,,,,,,,title:toxin production in bloom forming harmful alga alexandrium pacificum group iv is regulated by cyst formation promoting bacteria jannaschia cystaugens nbrc 100362t,,Water Research,,,,,toxin production in bloom forming harmful alga alexandrium pacificum group iv is regulated by cyst formation promoting bacteria jannaschia cystaugens nbrc 100362t,,P071,dinoflagellate,test,environmental,not_found
,manual_dinoflagellate_curation,Environmental drivers and microbial interactions in harmful dinoflagellate blooms: Insights from metagenomics and machine learning,"Freshwater dinoflagellate blooms have become a global environmental challenge, particularly in highland lakes. This study investigated dinoflagellate blooms in Lake Erhai, China, using microscopy, 18S rRNA sequencing, and metagenomics. The dominant species was identified as a variant of Peridinium gatunense. While no significant diurnal vertical distribution was observed (p?>?0.05), geographic distribution varied significantly (p?<?0.05). Metagenomic analysis revealed that specific microbial communities in dinoflagellate-dense areas promote their growth through enhanced metabolic pathways, particularly in nitrogen cycling and organic matter decomposition. Areas with high dinoflagellate density showed significantly reduced antibiotic resistance genes. Among various machine learning models tested, the gradient boosting model achieved optimal performance (R² = 0.88), identifying transparency, pH, permanganate index, ammonia nitrogen, and Ceratium spp. as key environmental drivers. These findings suggest that dinoflagellate blooms in Lake Erhai result from complex interactions between environmental factors and microbial communities, providing valuable insights for monitoring and controlling harmful algal blooms in highland lakes.","Environmental drivers and microbial interactions in harmful dinoflagellate blooms: Insights from metagenomics and machine learning. Freshwater dinoflagellate blooms have become a global environmental challenge, particularly in highland lakes. This study investigated dinoflagellate blooms in Lake Erhai, China, using microscopy, 18S rRNA sequencing, and metagenomics. The dominant species was identified as a variant of Peridinium gatunense. While no significant diurnal vertical distribution was observed (p?>?0.05), geographic distribution varied significantly (p?<?0.05). Metagenomic analysis revealed that specific microbial communities in dinoflagellate-dense areas promote their growth through enhanced metabolic pathways, particularly in nitrogen cycling and organic matter decomposition. Areas with high dinoflagellate density showed significantly reduced antibiotic resistance genes. Among various machine learning models tested, the gradient boosting model achieved optimal performance (R² = 0.88), identifying transparency, pH, permanganate index, ammonia nitrogen, and Ceratium spp. as key environmental drivers. These findings suggest that dinoflagellate blooms in Lake Erhai result from complex interactions between environmental factors and microbial communities, providing valuable insights for monitoring and controlling harmful algal blooms in highland lakes.",2025,,,,manual,manual_curated_dinoflagellate_stx,999,dinoflagellate_stx,dinoflagellate,,,,,,,,,,,title:environmental drivers and microbial interactions in harmful dinoflagellate blooms insights from metagenomics and machine learning,,Process Safety and Environmental Protection,,,,,environmental drivers and microbial interactions in harmful dinoflagellate blooms insights from metagenomics and machine learning,,P112,dinoflagellate,test,environmental,not_found
,manual_dinoflagellate_curation,ScillyHAB: A Multi-Disciplinary Survey of Harmful Marine Phytoplankton and Shellfish Toxins in the Isles of Scilly: Combining Citizen Science with State-of-the-Art Monitoring in an Isolated UK Island Territory,The Isles of Scilly are an archipelago of islands in the far southwest of the UK which contain numerous beds of wild bivalve molluscs which are recrea...,ScillyHAB: A Multi-Disciplinary Survey of Harmful Marine Phytoplankton and Shellfish Toxins in the Isles of Scilly: Combining Citizen Science with State-of-the-Art Monitoring in an Isolated UK Island Territory. The Isles of Scilly are an archipelago of islands in the far southwest of the UK which contain numerous beds of wild bivalve molluscs which are recrea...,2025,,,,manual,manual_curated_dinoflagellate_stx,999,dinoflagellate_stx,dinoflagellate,,,,,,,,,,,title:scillyhab a multi disciplinary survey of harmful marine phytoplankton and shellfish toxins in the isles of scilly combining citizen science with state of the art monitoring in an isolated uk island territory,,Marine Drugs,,,,,scillyhab a multi disciplinary survey of harmful marine phytoplankton and shellfish toxins in the isles of scilly combining citizen science with state of the art monitoring in an isolated uk island territory,,P163,dinoflagellate,test,policy_monitoring,not_found
,manual_dinoflagellate_curation,"Paralytic Shellfish Toxins in Coastal Waters of Changdao Island (China): Toxin Profiles, Potential Producers, and Environmental Conditions","In recent decades, there have been frequent occurrences of paralytic shellfish toxin (PST) contamination in the Yellow and Bohai Seas, China. The waters around Changdao Island, situated at the convergence of these two seas, have suffered harmful algal blooms of Alexandrium spp., indicating a potential risk of PST contamination in shellfish. However, a systematic investigation and assessment of PSTs in this area is still lacking. The presence of PSTs in plankton concentrates and shellfish in coastal areas of Changdao Island was monitored from April to October 2022, using liquid chromatography-tandem mass spectrometry. The potential toxin-producing microalgae were analyzed, as were the environmental conditions associated with their occurrence. The highest levels of PSTs in plankton concentrates and shellfish were both observed in September, reaching levels of 105.8 ng STXeq./L and 114.7 ?g STXeq./kg, respectively. The main analogues were C1, C2, and GTX1-4. High-throughput analysis of the plankton concentrates identified eight species of Alexandrium, which are potential producers of PSTs. Sediment samples also revealed the presence of permanent cysts of Alexandrium. This research represents a significant advance in our understanding of the distribution and hypothetical sources of PSTs in the coastal waters of Changdao Island.","Paralytic Shellfish Toxins in Coastal Waters of Changdao Island (China): Toxin Profiles, Potential Producers, and Environmental Conditions. In recent decades, there have been frequent occurrences of paralytic shellfish toxin (PST) contamination in the Yellow and Bohai Seas, China. The waters around Changdao Island, situated at the convergence of these two seas, have suffered harmful algal blooms of Alexandrium spp., indicating a potential risk of PST contamination in shellfish. However, a systematic investigation and assessment of PSTs in this area is still lacking. The presence of PSTs in plankton concentrates and shellfish in coastal areas of Changdao Island was monitored from April to October 2022, using liquid chromatography-tandem mass spectrometry. The potential toxin-producing microalgae were analyzed, as were the environmental conditions associated with their occurrence. The highest levels of PSTs in plankton concentrates and shellfish were both observed in September, reaching levels of 105.8 ng STXeq./L and 114.7 ?g STXeq./kg, respectively. The main analogues were C1, C2, and GTX1-4. High-throughput analysis of the plankton concentrates identified eight species of Alexandrium, which are potential producers of PSTs. Sediment samples also revealed the presence of permanent cysts of Alexandrium. This research represents a significant advance in our understanding of the distribution and hypothetical sources of PSTs in the coastal waters of Changdao Island.",2025,,,,manual,manual_curated_dinoflagellate_stx,999,dinoflagellate_stx,dinoflagellate,,,,,,,,,,,title:paralytic shellfish toxins in coastal waters of changdao island china toxin profiles potential producers and environmental conditions,,Marine Drugs,,,,,paralytic shellfish toxins in coastal waters of changdao island china toxin profiles potential producers and environmental conditions,,P186,dinoflagellate,test,toxin_profile,not_found
,manual_dinoflagellate_curation,"Phytoplankton and giant virus dynamics during different monsoon seasons, a fish kill, and a toxic bloom in a eutrophic mariculture area","Harmful algal blooms (HABs) pose a significant public health concern and can cause severe economic losses. In Bolinao, Philippines, intensive mariculture has led to diatom- or dinoflagellate-dominated HABs since the 2000s, raising risks of paralytic shellfish poisonings and fish kills. In the context of ongoing HAB monitoring and mitigation efforts, we investigated the phytoplankton and associated giant viruses during two seasons (Nov-Dec 2021 and Apr-May 2022). Our sampling encompassed a saxitoxin episode lasting 2.5 months (April-June 2022), and a fish kill (May 15-16, 2022). We used a low-cost flow-through camera (PlanktoScope) and 18S rRNA gene amplicon sequencing to identify the dominant phytoplankton. We detected the presence of Alexandrium sp., a known saxitoxin-producing alga, coincident with a toxin alert that resulted in a shellfish ban, even though it was not the dominant taxon. Using electron microscopy, we observed diverse morphologies of virus-like particles (VLPs), including giant icosahedral VLPs (~200 nm capsids). We assembled giant virus genomes from metagenomic data collected at different bloom phases. Phylogenetic and functional analyses suggest that the recovered genomes are primarily from viruses in the orders Imitervirales and Algavirales, encoding diverse auxiliary metabolic genes involved in nutrient transport and carbohydrate metabolism. The diversity and spatiotemporal dynamics of plankton and their viruses described in this study contributed to our understanding of the broader microbial context of HABs. Importance HABs are widespread phenomena that can be detrimental to livelihoods and health in coastal communities. Understanding what drives their formation, maintenance, and crash could aid in predicting, and potentially alleviating these events. Here, we report on the diversity and temporal dynamics of phytoplankton and giant viruses during a HAB event. Our findings revealed a diverse array of giant viruses belonging to thirteen families in a eutrophic coastal environment. We found evidence of associations between several phytoplankton-giant virus pairs and found a temporal/seasonal influence on phytoplankton-giant virus community structure. While future research is needed to establish definitive links between the giant viruses and HABs species succession, this study lays the groundwork for future mechanistic studies.","Phytoplankton and giant virus dynamics during different monsoon seasons, a fish kill, and a toxic bloom in a eutrophic mariculture area. Harmful algal blooms (HABs) pose a significant public health concern and can cause severe economic losses. In Bolinao, Philippines, intensive mariculture has led to diatom- or dinoflagellate-dominated HABs since the 2000s, raising risks of paralytic shellfish poisonings and fish kills. In the context of ongoing HAB monitoring and mitigation efforts, we investigated the phytoplankton and associated giant viruses during two seasons (Nov-Dec 2021 and Apr-May 2022). Our sampling encompassed a saxitoxin episode lasting 2.5 months (April-June 2022), and a fish kill (May 15-16, 2022). We used a low-cost flow-through camera (PlanktoScope) and 18S rRNA gene amplicon sequencing to identify the dominant phytoplankton. We detected the presence of Alexandrium sp., a known saxitoxin-producing alga, coincident with a toxin alert that resulted in a shellfish ban, even though it was not the dominant taxon. Using electron microscopy, we observed diverse morphologies of virus-like particles (VLPs), including giant icosahedral VLPs (~200 nm capsids). We assembled giant virus genomes from metagenomic data collected at different bloom phases. Phylogenetic and functional analyses suggest that the recovered genomes are primarily from viruses in the orders Imitervirales and Algavirales, encoding diverse auxiliary metabolic genes involved in nutrient transport and carbohydrate metabolism. The diversity and spatiotemporal dynamics of plankton and their viruses described in this study contributed to our understanding of the broader microbial context of HABs. Importance HABs are widespread phenomena that can be detrimental to livelihoods and health in coastal communities. Understanding what drives their formation, maintenance, and crash could aid in predicting, and potentially alleviating these events. Here, we report on the diversity and temporal dynamics of phytoplankton and giant viruses during a HAB event. Our findings revealed a diverse array of giant viruses belonging to thirteen families in a eutrophic coastal environment. We found evidence of associations between several phytoplankton-giant virus pairs and found a temporal/seasonal influence on phytoplankton-giant virus community structure. While future research is needed to establish definitive links between the giant viruses and HABs species succession, this study lays the groundwork for future mechanistic studies.",2025,,,,manual,manual_curated_dinoflagellate_stx,999,dinoflagellate_stx,dinoflagellate,,,,,,,,,,,title:phytoplankton and giant virus dynamics during different monsoon seasons a fish kill and a toxic bloom in a eutrophic mariculture area,,,,,,,phytoplankton and giant virus dynamics during different monsoon seasons a fish kill and a toxic bloom in a eutrophic mariculture area,,P219,dinoflagellate,test,hab,not_found
,manual_dinoflagellate_curation,Advances in Biosensors for the Rapid Detection of Marine Biotoxins: Current Status and Future Perspectives,"Marine biotoxins (MBs), harmful metabolites of marine organisms, pose a significant threat to marine ecosystems and human health due to their diverse composition and widespread occurrence. Consequently, rapid and efficient detection technology is crucial for maintaining marine ecosystem and human health. In recent years, rapid detection technology has garnered considerable attention for its pivotal role in identifying MBs, with advancements in sensitivity, specificity, and accuracy. These technologies offer attributes such as speed, high throughput, and automation, thereby meeting detection requirements across various scenarios. This review provides an overview of the classification and risks associated with MBs. It briefly outlines the current research status of marine biotoxin biosensors and introduces the fundamental principles, advantages, and limitations of optical, electrochemical, and piezoelectric biosensors. Additionally, the review explores the current applications in the detection of MBs and presents forward-looking perspectives on their development, which aims to be a comprehensive resource for the design and implementation of tailored biosensors for effective MB detection.","Advances in Biosensors for the Rapid Detection of Marine Biotoxins: Current Status and Future Perspectives. Marine biotoxins (MBs), harmful metabolites of marine organisms, pose a significant threat to marine ecosystems and human health due to their diverse composition and widespread occurrence. Consequently, rapid and efficient detection technology is crucial for maintaining marine ecosystem and human health. In recent years, rapid detection technology has garnered considerable attention for its pivotal role in identifying MBs, with advancements in sensitivity, specificity, and accuracy. These technologies offer attributes such as speed, high throughput, and automation, thereby meeting detection requirements across various scenarios. This review provides an overview of the classification and risks associated with MBs. It briefly outlines the current research status of marine biotoxin biosensors and introduces the fundamental principles, advantages, and limitations of optical, electrochemical, and piezoelectric biosensors. Additionally, the review explores the current applications in the detection of MBs and presents forward-looking perspectives on their development, which aims to be a comprehensive resource for the design and implementation of tailored biosensors for effective MB detection.",2024,,,,manual,manual_curated_dinoflagellate_stx,999,dinoflagellate_stx,dinoflagellate,,,,,,,,,,,title:advances in biosensors for the rapid detection of marine biotoxins current status and future perspectives,,Biosensors,,,,,advances in biosensors for the rapid detection of marine biotoxins current status and future perspectives,,P019,dinoflagellate,test,detection,not_found
