Source,Target,Source_Type,Target_Type,Hypothesis_Type,Common_Neighbor_Count,Weighted_Common_Neighbor_Score,Adamic_Adar_Score,Preferential_Attachment,Source_Degree,Target_Degree,Source_Weighted_Degree,Target_Weighted_Degree,Semantic_Bonus,Structural_Score,Bridge_Nodes,Bridge_Relation_Hints,Priority_Bonus,Priority_Score,Biological_Category,Validated_in_Post2015,Has_STX_Gene_Signal,Has_Environment_Signal,Has_Evolution_Signal,Has_Regulation_Signal,GB_ML_Score_OOF,RF_ML_Score_OOF,ML_Score,Priority_Score_Norm,ML_Score_Norm,Final_AI_Discovery_Score
Saxitoxin,sxtA1,TOXIN,GENE,GENE_TOXIN_HYPOTHESIS,24,29.0,6.3587,5829,87,67,110.0,81.0,2.0,106.3625,Alexandrium minutum; Gymnodinium catenatum; Pyrodinium bahamense; STX biosynthesis; STX-producing; amidinotransferase; biosynthesis; gene cluster; genes involved; involved in stx; involved in stx biosynthesis; nitrogen; saxitoxin and its analogues; saxitoxin and its derivatives; saxitoxin biosynthesis; starting gene; stx biosynthesis; stx-producing dinoflagellates; sxt gene; sxtA; sxtA4; sxtG; sxta and sxtg; toxic alexandrium,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,128.8625,Gene-toxin biology,1,0.0,0.0,0.0,0.0,0.6178988475201548,0.668,0.6379393085120929,0.7283633247643531,0.6905214988264294,0.7113345030922875
toxin profiles,sxtA1,TOXIN,GENE,GENE_TOXIN_HYPOTHESIS,13,18.0,3.2738,5695,85,67,276.0,81.0,2.0,72.0227,Gymnodinium catenatum; nitrogen; nitrogen limitation; paralytic shellfish toxin; paralytic shellfish toxins; phosphorus; phylogeny; production of toxins; saxitoxin; saxitoxin analogues; toxic dinoflagellate; toxin content; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,94.5227,Gene-toxin biology,0,0.0,0.0,0.0,0.0,0.8365827287620914,0.898,0.8611496372572549,0.5223009512288206,0.9333910314454372,0.7072914873262981
genes involved,phylogeny,PHRASE_GENE_MECHANISM,EVOLUTIONARY_PROCESS,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,23,30.0,5.7766,5060,92,55,124.0,84.0,1.5,99.3532,Alexandrium tamarense; Gymnodinium catenatum; STX biosynthesis; STX-producing; amidinotransferase; biosynthesis; biosynthesis gene; biosynthesis of saxitoxin; biosynthetic pathway; gene transfer; horizontal gene; horizontal gene transfer; involved in stx; involved in stx biosynthesis; saxitoxin; saxitoxin biosynthesis; stx biosynthesis; stx-producing dinoflagellates; sxtA; sxtA1; sxtG; toxin content; toxin production,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,119.8532,Evolutionary mechanism,0,0.0,0.0,0.0,0.0,0.6731650971256858,0.706,0.6862990582754115,0.6743013400733043,0.7431405236207466,0.7052789726696533
nitrogen,STX biosynthesis,ENV_FACTOR,BIOLOGICAL_MECHANISM,ENV_MECHANISM_HYPOTHESIS,15,19.0,3.624,4320,80,54,121.0,68.0,2.5,70.8481,Alexandrium fundyense; Alexandrium tamarense; Saxitoxin; biosynthesis; conservation; evolution; gene cluster; gene expression; genes involved; paralytic shellfish toxins; saxitoxin; sxtA; sxtA1; sxtG; toxic algae,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,93.3481,Environmental driver,1,0.0,0.0,0.0,0.0,0.8116936768462709,0.8918578290105668,0.8437593377119892,0.5152525448911355,0.914469084838364,0.6948999878673883
nitrogen,biosynthesis of saxitoxin,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,19,23.0,4.7975,3920,80,49,121.0,61.0,2.5,81.1951,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Saxitoxin; biosynthesis; biosynthesis gene; gene cluster; gene transfer; genes involved; horizontal gene; horizontal gene transfer; metabolic pathways; paralytic shellfish toxins; saxitoxin; saxitoxin synthesis; sxtA; sxtG; toxic algae; toxin analogues,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,103.6951,Environmental driver,1,0.0,0.0,0.0,0.0,0.8102894173686059,0.686,0.7605736504211635,0.5773416478845179,0.823956835219397,0.6883184821852135
toxin profile,sxtG,TOXIN,GENE,GENE_TOXIN_HYPOTHESIS,17,22.0,4.0635,7200,90,80,206.0,101.0,2.0,91.1269,Alexandrium minutum; Alexandrium tamarense; Gymnodinium catenatum; cellular toxin; cellular toxin content; evolution; nitrogen; paralytic shellfish toxin; paralytic shellfish toxins; phylogeny; saxitoxin; saxitoxin analogues; sxtA; sxtA1; toxic species; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,113.6269,Gene-toxin biology,1,0.0,0.0,0.0,0.0,0.6813362678649485,0.692,0.685601760718969,0.6369392658520134,0.7423818117251921,0.6843884114949439
evolution,sxta and sxtg,EVOLUTIONARY_PROCESS,PHRASE_GENE_MECHANISM,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,17,19.0,4.2145,3763,71,53,101.0,57.0,3.5,74.2441,Alexandrium minutum; Evolution; STX-producing; biosynthesis; gene cluster; gene expression; homologs; involved in stx; nitrogen; saxitoxin; saxitoxin synthesis; secondary metabolites; stx-producing dinoflagellates; sxtA; sxtA1; sxtG; toxin production,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,96.7441,Evolutionary mechanism,0,0.0,0.0,0.0,0.0,0.8923537944038289,0.658,0.7986122766422974,0.535630876172234,0.8653457056347235,0.6840025494303543
toxin profiles,sxtG,TOXIN,GENE,GENE_TOXIN_HYPOTHESIS,13,17.0,3.2339,6800,85,80,276.0,101.0,2.0,76.9679,Alexandrium fundyense; Alexandrium tamarense; Gymnodinium catenatum; nitrogen; nitrogen limitation; paralytic shellfish toxin; paralytic shellfish toxins; phosphorus; phylogeny; production of toxins; saxitoxin; saxitoxin analogues; toxin content,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,99.4679,Gene-toxin biology,1,0.0,0.0,0.0,0.0,0.8971757077177688,0.604,0.7799054246306613,0.5519755460024627,0.8449912514731237,0.6838326134642602
biosynthesis,growth and toxin production,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,14,17.0,3.4713,5750,125,46,193.0,73.0,1.5,73.6926,Alexandrium minutum; Alexandrium tamarense; GTX; Pyrodinium bahamense; Toxin content; cellular toxin; cellular toxin content; environmental conditions; phosphate; saxitoxin; temperature; toxin composition; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,93.1926,Mechanistic biology,0,0.0,0.0,0.0,0.0,0.8198723115360694,0.818,0.8191233869216417,0.5143194381437236,0.8876633277405026,0.6823241884622742
nitrogen,stx biosynthesis,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,15,19.0,3.624,4320,80,54,121.0,68.0,2.5,70.8481,Alexandrium fundyense; Alexandrium tamarense; Saxitoxin; biosynthesis; conservation; evolution; gene cluster; gene expression; genes involved; paralytic shellfish toxins; saxitoxin; sxtA; sxtA1; sxtG; toxic algae,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,93.3481,Environmental driver,1,0.0,0.0,0.0,0.0,0.80091401887693,0.83,0.8125484113261581,0.5152525448911355,0.8805092625194455,0.679618067823875
