Source,Target,Source_Type,Target_Type,Hypothesis_Type,Common_Neighbor_Count,Weighted_Common_Neighbor_Score,Adamic_Adar_Score,Preferential_Attachment,Source_Degree,Target_Degree,Source_Weighted_Degree,Target_Weighted_Degree,Semantic_Bonus,Structural_Score,Bridge_Nodes,Bridge_Relation_Hints,Priority_Bonus,Priority_Score,Biological_Category,Validated_in_Post2015,Has_STX_Gene_Signal,Has_Environment_Signal,Has_Evolution_Signal,Has_Regulation_Signal,GB_ML_Score_OOF,RF_ML_Score_OOF,ML_Score,Priority_Score_Norm,ML_Score_Norm,Final_AI_Discovery_Score
sxtB,genes have,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,3,3.0,0.7319,510,30,17,30.0,17.0,2.0,13.5139,saxitoxin; saxitoxin synthesis; secondary metabolites,EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,16.5,30.0139,Mechanistic biology,0,0.0,0.0,0.0,0.0,0.257120036006432,0.8934994590538817,0.5116718052254119,0.13520386732242165,0.5531330111134927,0.3232719820284036
sxtA,saxitoxin biosynthetic gene,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,7,7.0,2.0679,1180,118,10,191.0,10.0,2.0,29.5359,PST producing; Saxitoxin; gene cluster; paralytic shellfish toxins; pst producing; saxitoxin; saxitoxin biosynthetic,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,18.0,47.5359,Mechanistic biology,1,0.0,0.0,0.0,0.0,0.21688312355525,0.658,0.39332987413315,0.2403478957992794,0.4243681387386902,0.3231570051220143
toxin content,environmental factors,TOXIN,ENV_FACTOR,ENV_TOXIN_HYPOTHESIS,3,3.0,0.6353,417,139,3,302.0,3.0,0.0,10.8557,salinity; saxitoxin; temperature,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,30.3557,Environmental driver,1,0.0,0.0,0.0,0.0,0.6418625773080942,0.30921030005727496,0.5088016664077665,0.1372549019607843,0.5500100854087908,0.32299473451238725
temperature,saxitoxin production,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,6,8.0,1.4742,4085,95,43,178.0,46.0,2.5,41.8734,Alexandrium tamarense; Toxin production; paralytic shellfish toxins; saxitoxin; toxin production; toxin synthesis,ABSENT_IN;ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,15.0,56.8734,Environmental driver,0,0.0,0.0,0.0,0.0,0.3990130975528153,0.226,0.32980785853168915,0.29637930579258265,0.35525143465570985,0.3228717637809899
sxtG,Nitrate,GENE,ENV_FACTOR,ENV_GENE_HYPOTHESIS,5,5.0,1.1703,1200,80,15,101.0,22.0,3.0,23.8407,Alexandrium tamarense; cellular toxin; cellular toxin content; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,18.0,41.8407,Environmental driver,1,0.0,0.0,0.0,0.0,0.44080255458924594,0.416,0.43088153275354757,0.20617278616673743,0.4652271519818315,0.3227472507835298
sxtA4,Salinity,GENE,ENV_FACTOR,ENV_GENE_HYPOTHESIS,1,1.0,0.1787,880,55,16,66.0,16.0,3.0,10.2575,saxitoxin,ASSOCIATED_WITH;INVOLVED_IN;PRESENT_IN,14.0,24.2575,Environmental driver,1,0.0,0.0,0.0,0.0,0.5261452221628944,0.5835354939572164,0.5491013308806232,0.10066151567739348,0.5938591345556157,0.3226004441725935
STX biosynthesis genes,conserved,GENE,EVOLUTIONARY_PROCESS,GENE_EVOLUTION_HYPOTHESIS,3,3.0,0.6204,289,17,17,17.0,17.0,1.5,11.6859,biosynthesis; evolution; saxitoxin,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN,17.0,28.6859,Evolutionary mechanism,1,0.0,0.0,0.0,0.0,0.225005702617666,0.9604950934295717,0.5192014589424283,0.12723495567892967,0.5613258375356185,0.32257585251443965
saxitoxin derivatives,sxtA4,PHRASE_TOXIN_PHENOTYPE,GENE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,9,13.0,2.0769,2915,53,55,106.0,66.0,2.0,45.2287,Alexandrium catenella; Alexandrium fundyense; Alexandrium tamarense; biosynthesis; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin biosynthesis; toxin content,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN,16.0,61.2287,Gene-toxin biology,0,0.0,0.0,0.0,0.0,0.3019606090430496,0.296,0.29957636542582977,0.3225140956125381,0.3223573090017958,0.32244354163770406
evolution,Alexandrium pacificum,EVOLUTIONARY_PROCESS,SPECIES,SPECIES_EVOLUTION_HYPOTHESIS,8,10.0,1.8453,1136,71,16,101.0,18.0,1.5,31.8705,STX biosynthesis; biosynthesis; gene cluster; involved in stx biosynthesis; saxitoxin; stx biosynthesis; sxtA; sxtA4,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,20.5,52.3705,Evolutionary mechanism,0,0.0,0.0,0.0,0.0,0.31947748416814975,0.4175585029114115,0.3587098916654544,0.26935881464839573,0.38669900842345734,0.32216190184717347
phosphate,nitrogen limitation,ENV_FACTOR,PHRASE_ENVIRONMENT,ENVIRONMENT_PHRASE_HYPOTHESIS,12,17.0,2.9658,2173,53,41,78.0,65.0,1.0,50.2967,Alexandrium fundyense; Alexandrium minutum; GTX; biosynthesis; cellular toxin; cellular toxin content; differences in toxin; nitrogen; saxitoxin; toxin composition; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;REGULATES,8.0,58.2967,Environmental driver,0,0.0,0.0,0.0,0.0,0.29580123748261844,0.352,0.31828074248957106,0.30492008285747885,0.34270907023497305,0.3219251271773512
homologs,saxitoxin gene,EVOLUTIONARY_PROCESS,PHRASE_GENE_MECHANISM,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,9,9.0,2.1128,1222,47,26,54.0,26.0,0.0,32.8355,Alexandrium fundyense; Alexandrium tamarense; Saxitoxin; biosynthesis; genes involved; involved in stx; saxitoxin; sxtA; toxic species,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,20.5,53.3355,Evolutionary mechanism,0,0.0,0.0,0.0,0.0,0.10949515316641639,0.7114691376475863,0.3502847469588844,0.27514947710018023,0.3775318208267386,0.32122153177713153
temperature,involved in toxin,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,1,1.0,0.1787,1425,95,15,178.0,15.0,1.0,10.9825,saxitoxin,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,12.5,23.4825,Environmental driver,0,0.0,0.0,0.0,0.0,0.31751359781337146,0.9016606079163778,0.5511724018545741,0.0960109836565303,0.5961126146803573,0.3210567176172524
sxtA,biosynthetic gene,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,7,7.0,2.0679,1180,118,10,191.0,10.0,2.0,29.5359,PST producing; Saxitoxin; gene cluster; paralytic shellfish toxins; pst producing; saxitoxin; saxitoxin biosynthetic,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,18.0,47.5359,Mechanistic biology,1,0.0,0.0,0.0,0.0,0.21839150750049807,0.644,0.3886349045002988,0.2403478957992794,0.41925966061941444,0.32085818996834015
biosynthesis,potentially toxic,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,2,2.0,0.3983,500,125,4,193.0,5.0,1.5,9.7967,saxitoxin; temperature,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,29.2967,Mechanistic biology,0,0.0,0.0,0.0,0.0,0.39298157463222244,0.6849821815598377,0.5097818174032686,0.13090017498001771,0.5510765630019735,0.3199795495898978
sxtA1,biosynthesis genes,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,9,9.0,2.174,1139,67,17,81.0,17.0,3.5,36.0431,STX biosynthesis; biosynthesis; clade; evolution; gene expression; saxitoxin; saxitoxin biosynthesis; stx biosynthesis; sxtA4,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,19.0,55.0431,Mechanistic biology,0,0.0,0.0,0.0,0.0,0.5168566402314133,0.06353127474267617,0.33552649403591844,0.28539624933092345,0.3614737378078024,0.319631119145519
sxtA1,biosynthesis in dinoflagellates,GENE,PHRASE_BIOSYNTHESIS,GENE_BIOSYNTHESIS_PHRASE_HYPOTHESIS,11,13.0,2.6049,1675,67,25,81.0,32.0,3.5,45.5849,Alexandrium minutum; Gymnodinium catenatum; amidinotransferase; biosynthesis; evolution; genes involved; saxitoxin; saxitoxin and its derivatives; saxitoxin biosynthesis; sxtA; sxtG,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,19.0,64.5849,Other,0,0.0,0.0,0.0,0.0,0.3523165551437611,0.14846152111147243,0.2707745415308456,0.34265359957179103,0.29101877038095975,0.31941792643591693
toxin profiles,sxtN,TOXIN,GENE,GENE_TOXIN_HYPOTHESIS,5,9.0,1.3387,1020,85,12,276.0,24.0,2.0,24.2773,Alexandrium tamarense; less toxic; paralytic shellfish toxins; toxin content; toxin content and composition,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;PRESENT_IN;REGULATES,20.5,44.7773,Gene-toxin biology,1,0.0,0.0,0.0,0.0,0.4204293719712884,0.37924053880692754,0.403953838705544,0.22379440207959786,0.4359278068094455,0.31925443420802935
sxtA4,stx-producing dinoflagellates,GENE,PHRASE_TOXIN_PHENOTYPE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,11,13.0,2.5052,1430,55,26,66.0,29.0,2.0,42.6605,STX biosynthesis; Saxitoxin; biosynthesis; evolution; genes involved; involved in stx biosynthesis; saxitoxin; saxitoxin biosynthesis; stx biosynthesis; sxtA; sxtA1,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,19.0,61.6605,Gene-toxin biology,0,0.0,0.0,0.0,0.0,0.32591236961429687,0.2333181725487415,0.2888746907880747,0.32510519203396865,0.3107130865676286,0.3186287445741156
sxtG,toxin-producing dinoflagellate alexandrium,GENE,PHRASE_TOXIN_PHENOTYPE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,3,3.0,0.6309,320,80,4,101.0,4.0,2.0,12.3617,Saxitoxin; nitrogen; saxitoxin,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,18.5,30.8617,Gene-toxin biology,1,0.0,0.0,0.0,0.0,0.32636517752924965,0.7512658038906581,0.4963254280738131,0.14029124931892206,0.5364350049452427,0.3185559393507663
biosynthesis,toxins have,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,5,6.0,1.0687,1250,125,10,193.0,11.0,1.5,22.8874,Saxitoxin; phosphate; saxitoxin; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,42.3874,Mechanistic biology,0,0.0,0.0,0.0,0.0,0.32927764216218725,0.5523536815043799,0.4185080578990643,0.2094533614645515,0.451763885870108,0.31849309744705195
nitrogen,shellfish poisoning toxins,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,2,5.0,0.4166,640,80,8,121.0,12.0,1.0,11.5331,saxitoxin; sxtA1,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;REGULATES,18.0,29.5331,Environmental driver,1,0.0,0.0,0.0,0.0,0.24714618779702602,0.8919050230616792,0.5050497219028873,0.13231873726354296,0.5459276891620078,0.3184427656178522
phylogenetic analysis,STX biosynthesis genes,EVOLUTIONARY_PROCESS,GENE,GENE_EVOLUTION_HYPOTHESIS,1,1.0,0.1787,255,15,17,15.0,17.0,3.0,7.1325,saxitoxin,ASSOCIATED_WITH;EVOLUTIONARY_LINK,15.0,22.1325,Evolutionary mechanism,1,0.0,0.0,0.0,0.0,0.3031903796321287,0.9322729732331555,0.5548234170725395,0.08791005691051056,0.6000851923140047,0.3183888678420829
biosynthesis genes,conserved,PHRASE_GENE_MECHANISM,EVOLUTIONARY_PROCESS,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,3,3.0,0.6204,289,17,17,17.0,17.0,1.5,11.6859,biosynthesis; evolution; saxitoxin,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN,17.0,28.6859,Evolutionary mechanism,1,0.0,0.0,0.0,0.0,0.20562659086817112,0.968106708925006,0.5106186380909051,0.12723495567892967,0.5519870864998545,0.3183734145483459
sxta4 gene,sxtB,PHRASE_GENE_MECHANISM,GENE,GENE_MECHANISM_PHRASE_HYPOTHESIS,7,7.0,1.6526,780,26,30,26.0,30.0,2.0,26.7052,Alexandrium tamarense; Saxitoxin; genes involved; involved in stx; saxitoxin; sxtA; toxic species,ASSOCIATED_WITH;INVOLVED_IN;PRESENT_IN,12.0,38.705200000000005,Mechanistic biology,0,0.0,0.0,0.0,0.0,0.3100310912578176,0.6413919660554268,0.44257544117686126,0.1873576337132968,0.47795099898849125,0.3181246480871343
sxtA,Toxin Production,GENE,TOXIN,GENE_TOXIN_HYPOTHESIS,1,1.0,0.2115,1534,118,13,191.0,13.0,3.5,14.0931,toxin production,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,34.5931,Gene-toxin biology,1,0.0,0.0,0.0,0.0,0.6019992598513862,0.27271811495805987,0.4702868018940557,0.16268221084492063,0.5081030321110518,0.31812158041467964
Alexandrium fundyense,Phylogenetic analysis,SPECIES,EVOLUTIONARY_PROCESS,SPECIES_EVOLUTION_HYPOTHESIS,9,13.0,2.0915,1352,52,26,87.0,40.0,1.5,36.943,biosynthesis; biosynthesis of saxitoxin; gene transfer; horizontal gene; horizontal gene transfer; saxitoxin; saxitoxin biosynthesis; toxin content; toxin profiles,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,20.5,57.443,Evolutionary mechanism,0,0.0,0.0,0.0,0.0,0.2965938871146549,0.34535418004268564,0.3160980042858672,0.2997972968107551,0.340334087812146,0.31803885276138105
nitrogen,PST-producing,ENV_FACTOR,TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,7,10.0,1.4989,1360,80,17,121.0,22.0,1.0,29.7979,Saxitoxin; biosynthesis; gene cluster; genes involved; saxitoxin; sxtA; toxin profile,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,52.2979,Environmental driver,0,0.0,0.0,0.0,0.0,0.39613530449394396,0.28240235457246377,0.3506421245253519,0.26892316481005424,0.37792067434899457,0.3179720441025774
toxin content,Phosphorus,TOXIN,ENV_FACTOR,ENV_TOXIN_HYPOTHESIS,3,3.0,0.9329,417,139,3,302.0,3.0,0.0,11.4508,Nitrogen; nutrient limitation; toxin contents,INCREASES,11.0,22.4508,Environmental driver,1,0.0,0.0,0.0,0.0,0.6704651639207793,0.3731066413787413,0.551521754903964,0.08982007541662766,0.5964927369278418,0.317822773096674
sxtB,gene loss,GENE,GENE_PRESENCE_ABSENCE,GENE_PRESENCE_ABSENCE_HYPOTHESIS,3,3.0,0.7319,510,30,17,30.0,17.0,3.5,15.0139,saxitoxin; saxitoxin synthesis; secondary metabolites,EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,16.5,31.5139,Gene presence/absence,1,0.0,0.0,0.0,0.0,0.31078308054477094,0.7575729064987964,0.48949901092638115,0.14420489704022138,0.5290073525091763,0.3173660020012511
sxtN,PST biosynthesis,GENE,BIOLOGICAL_MECHANISM,GENE_MECHANISM_HYPOTHESIS,2,2.0,0.4397,324,12,27,24.0,27.0,3.5,10.9993,paralytic shellfish toxins; toxin content,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;REGULATES,14.0,24.9993,Mechanistic biology,1,0.0,0.0,0.0,0.0,0.3528128310130881,0.8032285852045405,0.5329791326896691,0.10511282490716939,0.5763169770692638,0.3171546933801119
toxin synthesis,sxtA1,PHRASE_TOXIN_PHENOTYPE,GENE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,10,14.0,2.2204,1876,28,67,34.0,81.0,2.0,42.8207,biosynthesis; genes involved; saxitoxin; saxitoxin and its derivatives; saxitoxin biosynthesis; sxtA; sxtG; sxta and sxtg; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,63.3207,Gene-toxin biology,0,0.0,0.0,0.0,0.0,0.3019790214476243,0.23353133658794037,0.2745999475037507,0.3350675317256294,0.29518109819948174,0.31711863663886297
nitrogen,Gene expression,ENV_FACTOR,REGULATION_EXPRESSION,ENV_REGULATION_HYPOTHESIS,5,5.0,1.1411,1360,80,17,121.0,17.0,2.5,24.0822,Alexandrium fundyense; biosynthesis; evolution; gene expression; saxitoxin,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;REGULATES,20.5,44.5822,Environmental driver,0,0.0,0.0,0.0,0.0,0.5245046000134346,0.21526580389065825,0.40080908156432404,0.22262366814763607,0.4325060758287059,0.3170707516041175
Alexandrium tamarense,toxin biosynthesis,SPECIES,PHRASE_TOXIN_PHENOTYPE,SPECIES_TOXIN_PHENOTYPE_HYPOTHESIS,8,8.0,1.7765,1518,69,22,161.0,22.0,1.5,32.6429,Toxin content; biosynthesis; phosphate; saxitoxin; saxitoxin derivatives; temperature; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,9.5,42.1429,Other,0,0.0,0.0,0.0,0.0,0.44459249443426746,0.3757841238312839,0.41706914619307406,0.20798619362055015,0.45019824231105543,0.31698161553127757
biosynthesis,toxigenic dinoflagellate,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,2,2.0,0.4133,500,125,4,193.0,4.0,1.5,9.8267,evolution; saxitoxin,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,17.5,27.3267,Mechanistic biology,1,0.0,0.0,0.0,0.0,0.49585652431806126,0.5472699650642244,0.5164219006165265,0.11907882261730741,0.5583014701808723,0.31672901402091164
domains sxta1,HGT,PHRASE_GENE_MECHANISM,EVOLUTIONARY_PROCESS,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,1,1.0,0.2096,182,14,13,14.0,13.0,3.5,7.3292,sxtA,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,16.5,23.8292,Evolutionary mechanism,1,0.0,0.0,0.0,0.0,0.45860690194632103,0.662,0.5399641411677927,0.09809142165863773,0.5839171887349098,0.3167130168429602
PST-producing,sxtG,TOXIN_PHENOTYPE,GENE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,10,13.0,2.2977,1360,17,80,22.0,101.0,2.0,39.8955,STX biosynthesis; Saxitoxin; biosynthesis; biosynthesis of saxitoxin; gene cluster; genes involved; involved in stx biosynthesis; saxitoxin; stx biosynthesis; sxtA,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,19.0,58.8955,Gene-toxin biology,0,0.0,0.0,0.0,0.0,0.40865033559426467,0.1455924205926422,0.30342716959361565,0.3085132939208245,0.32654727195599786,0.3166285840366525
nitrogen,STX biosynthesis genes,ENV_FACTOR,GENE,ENV_GENE_HYPOTHESIS,5,5.0,1.1411,1360,80,17,121.0,17.0,2.5,24.0822,Alexandrium fundyense; biosynthesis; evolution; gene expression; saxitoxin,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;REGULATES,20.5,44.5822,Environmental driver,0,0.0,0.0,0.0,0.0,0.5079664433998594,0.2372659054117335,0.39968622820460903,0.22262366814763607,0.4312843273898825,0.31652096480664693
sxtA,high salinity,GENE,ENV_FACTOR,ENV_GENE_HYPOTHESIS,3,3.0,0.6822,2124,118,18,191.0,18.0,3.0,22.4844,Alexandrium minutum; toxin production; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,44.9844,Environmental driver,0,0.0,0.0,0.0,0.0,0.45968567512323744,0.30250634269758575,0.3968139421529768,0.2250371442493021,0.4281590653340013,0.31644200873741674
horizontal gene transfer,HGT,PHRASE_GENE_MECHANISM,EVOLUTIONARY_PROCESS,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,6,6.0,1.4425,572,44,13,65.0,13.0,1.5,22.2449,biosynthesis; biosynthetic pathway; genes involved; origin of saxitoxin; saxitoxin; sxtA,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,19.0,41.2449,Evolutionary mechanism,1,0.0,0.0,0.0,0.0,0.2540403738073474,0.6734146705041603,0.4217900924860726,0.20259757716282742,0.4553349849794873,0.3163294106803244
gene transfer,HGT,PHRASE_GENE_MECHANISM,EVOLUTIONARY_PROCESS,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,6,6.0,1.4425,572,44,13,65.0,13.0,1.5,22.2449,biosynthesis; biosynthetic pathway; genes involved; origin of saxitoxin; saxitoxin; sxtA,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,19.0,41.2449,Evolutionary mechanism,1,0.0,0.0,0.0,0.0,0.2540403738073474,0.6734146705041603,0.4217900924860726,0.20259757716282742,0.4553349849794873,0.3163294106803244
salinity,nitrogen limitation,ENV_FACTOR,PHRASE_ENVIRONMENT,ENVIRONMENT_PHRASE_HYPOTHESIS,12,19.0,3.0042,2788,68,41,120.0,65.0,1.0,54.4484,Alexandrium minutum; GTX; Toxin composition; cellular toxin; cellular toxin content; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; toxin composition; toxin content; toxin production; toxin profiles,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,10.0,64.44839999999999,Environmental driver,0,0.0,0.0,0.0,0.0,0.2165513762516166,0.3372658038906583,0.2648371473072333,0.34183450586747116,0.2845584413801909,0.31606027684819504
genes involved,sxt Gene,PHRASE_GENE_MECHANISM,GENE,GENE_MECHANISM_PHRASE_HYPOTHESIS,6,6.0,1.5033,1380,92,15,124.0,15.0,2.0,26.9067,Alexandrium minutum; STX-producing; saxitoxin; saxitoxin and its derivatives; sxt gene; sxtA1,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,16.5,43.4067,Mechanistic biology,0,0.0,0.0,0.0,0.0,0.3448734773321782,0.4978058379796655,0.4060464215911731,0.21556986119212035,0.43820469350306934,0.3157555357320474
Gymnodinium catenatum,Phylogenetic analysis,SPECIES,EVOLUTIONARY_PROCESS,SPECIES_EVOLUTION_HYPOTHESIS,10,13.0,2.3411,1274,49,26,111.0,40.0,1.5,39.0521,biosynthesis; biosynthesis of saxitoxin; gene transfer; horizontal gene; horizontal gene transfer; phylogeny; saxitoxin; saxitoxin biosynthesis; toxin content; toxin profiles,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,20.5,59.5521,Evolutionary mechanism,1,0.0,0.0,0.0,0.0,0.33798921971242624,0.23535310615894836,0.2969347742910351,0.3124533446626294,0.3194830602701855,0.3156167166860297
phylogenetic analysis,sxta4 gene,EVOLUTIONARY_PROCESS,PHRASE_GENE_MECHANISM,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,2,2.0,0.4149,390,15,26,15.0,26.0,3.5,11.2798,Alexandrium tamarense; saxitoxin,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN,14.5,25.7798,Evolutionary mechanism,0,0.0,0.0,0.0,0.0,0.4591707969178322,0.6211816689364759,0.5239751457252897,0.1097963607036645,0.566519965801729,0.31532198299779357
sxtA1,Alexandrium pacificum,GENE,SPECIES,SPECIES_GENE_HYPOTHESIS,10,12.0,2.3375,1072,67,16,81.0,18.0,2.0,38.035,STX biosynthesis; biosynthesis; gene cluster; genes involved; involved in stx biosynthesis; saxitoxin; stx biosynthesis; sxt gene; sxtA; sxtA4,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,19.0,57.035,Species-gene link,1,0.0,0.0,0.0,0.0,0.25957578411659354,0.3936255607283372,0.31319569476129105,0.29734901672751357,0.3371761579721059,0.31527123028758014
saxitoxin,Phosphorus,TOXIN,ENV_FACTOR,ENV_TOXIN_HYPOTHESIS,2,2.0,0.5799,807,269,3,689.0,3.0,0.0,10.1949,nutrient limitation; toxin contents,INCREASES,11.0,21.1949,Environmental driver,1,0.0,0.0,0.0,0.0,0.5083100908717867,0.6209268402490893,0.5533567906227077,0.08228381326823789,0.5984893930407373,0.3145763241658626
Gene expression,non-STX producing,REGULATION_EXPRESSION,TOXIN_PHENOTYPE,REGULATION_TOXIN_PHENOTYPE_HYPOTHESIS,6,6.0,1.35,238,17,14,17.0,14.0,1.5,20.3901,STX biosynthesis; biosynthesis; evolution; saxitoxin; saxitoxin biosynthesis; stx biosynthesis,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,19.0,39.3901,Other,0,0.0,0.0,0.0,0.0,0.18759776203463766,0.7944531325052797,0.43033991022289453,0.1914675038824441,0.46463782615799915,0.3143941489064439
STX biosynthesis genes,Homologs,GENE,EVOLUTIONARY_PROCESS,GENE_EVOLUTION_HYPOTHESIS,1,1.0,0.1787,510,17,30,17.0,30.0,1.5,6.9075,saxitoxin,ASSOCIATED_WITH;INVOLVED_IN;PRESENT_IN,17.0,23.9075,Evolutionary mechanism,1,0.0,0.0,0.0,0.0,0.3152341665104028,0.8637345688237932,0.534634327435759,0.09856127540990688,0.5781179527527647,0.3143617802141929
sxtA1,Toxin Production,GENE,TOXIN,GENE_TOXIN_HYPOTHESIS,1,1.0,0.2115,871,67,13,81.0,13.0,3.5,10.7781,toxin production,ASSOCIATED_WITH;INVOLVED_IN;PRESENT_IN;REGULATES,14.5,25.2781,Gene-toxin biology,1,0.0,0.0,0.0,0.0,0.5235370809481776,0.5271051882549984,0.524964323870906,0.10678581629738441,0.5675962656094187,0.31415051848779985
