edge_key,source,target,source_type,target_type,post2015_relation,dino_post_weight,cyano_prior_weight,dino_pre_prior_weight,in_cyano_prior,in_dino_pre_prior,transfer_type,transfer_support_score
nitrate||sxta,sxta,nitrate,SXT_GENE,ENV_FACTOR,semantic_cooccurrence,7,4.0,0.0,1,0,cyano_only_prior_signal,4.0
saxitoxin_biosynthesis||toxin_biosynthesis,toxin_biosynthesis,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,6,2.0,2.0,1,1,cyano_and_dino_prior_signal,4.0
bloom||sxtg,sxtg,bloom,SXT_GENE,ENV_FACTOR,semantic_cooccurrence,5,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
paralytic_shellfish_poisoning||sxtb,paralytic_shellfish_poisoning,sxtb,TOXIN,SXT_GENE,gene_associated_with_toxin,5,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
sxtb||transcriptome,sxtb,transcriptome,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,5,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
sxts||sxtu,sxts,sxtu,SXT_GENE,SXT_GENE,semantic_cooccurrence,5,4.0,0.0,1,0,cyano_only_prior_signal,4.0
sxta||transcription,sxta,transcription,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,4,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
toxin_biosynthesis||transcriptome,toxin_biosynthesis,transcriptome,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,4,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
phylogenetic||sxtg,sxtg,phylogenetic,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,4,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
sxtb||sxts,sxtb,sxts,SXT_GENE,SXT_GENE,semantic_cooccurrence,4,4.0,0.0,1,0,cyano_only_prior_signal,4.0
sxtg||transcriptomic,sxtg,transcriptomic,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,4,4.0,0.0,1,0,cyano_only_prior_signal,4.0
regulation||sxt_genes,sxt_genes,regulation,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,4,4.0,0.0,1,0,cyano_only_prior_signal,4.0
sxt_genes||sxtu,sxtu,sxt_genes,SXT_GENE,SXT_GENE,semantic_cooccurrence,4,3.0,1.0,1,1,cyano_and_dino_prior_signal,4.0
alexandrium||sxts,sxts,alexandrium,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,4,4.0,0.0,1,0,cyano_only_prior_signal,4.0
alexandrium_minutum||sxti,sxti,alexandrium_minutum,SXT_GENE,DINO_TAXON,taxon_associated_with_gene,3,4.0,0.0,1,0,cyano_only_prior_signal,4.0
saxitoxin_biosynthesis||toxin_production,saxitoxin_biosynthesis,toxin_production,BIOLOGICAL_PROCESS,BIOLOGICAL_PROCESS,semantic_cooccurrence,3,1.0,3.0,1,1,cyano_and_dino_prior_signal,4.0
harmful_algal_bloom||sxta,sxta,harmful_algal_bloom,SXT_GENE,ENV_FACTOR,gene_associated_with_process;semantic_cooccurrence,3,2.0,2.0,1,1,cyano_and_dino_prior_signal,4.0
