edge_key,source,target,source_type,target_type,post2015_relation,dino_post_weight,cyano_prior_weight,dino_pre_prior_weight,in_cyano_prior,in_dino_pre_prior,transfer_type,transfer_support_score
cyanobacteria||temperature,cyanobacteria,temperature,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,4,29.0,0.0,1,0,cyano_only_prior_signal,29.0
temperature||toxicity,temperature,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,19,14.0,14.0,1,1,cyano_and_dino_prior_signal,28.0
phosphorus||saxitoxin,saxitoxin,phosphorus,TOXIN,ENV_FACTOR,environment_associated_with_toxin,7,25.0,2.0,1,1,cyano_and_dino_prior_signal,27.0
climate||saxitoxin,saxitoxin,climate,TOXIN,ENV_FACTOR,environment_associated_with_toxin,13,22.0,4.0,1,1,cyano_and_dino_prior_signal,26.0
bloom||nitrogen,nitrogen,bloom,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,6,19.0,7.0,1,1,cyano_and_dino_prior_signal,26.0
nutrient||toxicity,nutrient,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,13,14.0,10.0,1,1,cyano_and_dino_prior_signal,24.0
cyanobacteria||light,cyanobacteria,light,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,2,22.0,2.0,1,1,cyano_and_dino_prior_signal,24.0
cyanobacterial||nutrient,cyanobacterial,nutrient,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,23.0,1.0,1,1,cyano_and_dino_prior_signal,24.0
nutrient||paralytic_shellfish_toxins,paralytic_shellfish_toxins,nutrient,TOXIN,ENV_FACTOR,environment_associated_with_toxin,16,9.0,14.0,1,1,cyano_and_dino_prior_signal,23.0
bloom||toxin_production,bloom,toxin_production,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,14,18.0,5.0,1,1,cyano_and_dino_prior_signal,23.0
nutrient||toxin_production,nutrient,toxin_production,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,12,11.0,12.0,1,1,cyano_and_dino_prior_signal,23.0
nitrogen||toxicity,nitrogen,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,8,12.0,11.0,1,1,cyano_and_dino_prior_signal,23.0
cyanobacteria||nutrients,cyanobacteria,nutrients,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,5,23.0,0.0,1,0,cyano_only_prior_signal,23.0
climate||cyanobacterial,cyanobacterial,climate,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,2,22.0,1.0,1,1,cyano_and_dino_prior_signal,23.0
alexandrium||temperature,alexandrium,temperature,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,29,2.0,20.0,1,1,cyano_and_dino_prior_signal,22.0
dinoflagellate||temperature,dinoflagellate,temperature,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,19,2.0,20.0,1,1,cyano_and_dino_prior_signal,22.0
alexandrium||nitrogen,alexandrium,nitrogen,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,21,3.0,18.0,1,1,cyano_and_dino_prior_signal,21.0
alexandrium||light,alexandrium,light,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,18,3.0,18.0,1,1,cyano_and_dino_prior_signal,21.0
dinoflagellate||light,dinoflagellate,light,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,14,2.0,19.0,1,1,cyano_and_dino_prior_signal,21.0
cyanobacteria||harmful_algal_bloom,cyanobacteria,harmful_algal_bloom,CYANO_TAXON,BIOLOGICAL_PROCESS,semantic_cooccurrence;taxon_associated_with_process,13,20.0,1.0,1,1,cyano_and_dino_prior_signal,21.0
nitrogen||toxin_production,nitrogen,toxin_production,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,11,12.0,9.0,1,1,cyano_and_dino_prior_signal,21.0
alexandrium||harmful_algal_bloom,alexandrium,harmful_algal_bloom,DINO_TAXON,BIOLOGICAL_PROCESS,semantic_cooccurrence;taxon_associated_with_process,16,2.0,18.0,1,1,cyano_and_dino_prior_signal,20.0
alexandrium||nitrate,alexandrium,nitrate,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,14,3.0,17.0,1,1,cyano_and_dino_prior_signal,20.0
dinoflagellates||nutrient,dinoflagellates,nutrient,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,16,10.0,9.0,1,1,cyano_and_dino_prior_signal,19.0
bloom||sxta,sxta,bloom,SXT_GENE,ENV_FACTOR,semantic_cooccurrence,13,16.0,3.0,1,1,cyano_and_dino_prior_signal,19.0
nitrate||nitrogen,nitrogen,nitrate,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,13,8.0,11.0,1,1,cyano_and_dino_prior_signal,19.0
nutrient||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,nutrient,TOXIN,ENV_FACTOR,environment_associated_with_toxin,12,7.0,12.0,1,1,cyano_and_dino_prior_signal,19.0
cyanobacterial||light,cyanobacterial,light,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,18.0,1.0,1,1,cyano_and_dino_prior_signal,19.0
dinoflagellate||nitrogen,dinoflagellate,nitrogen,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,22,2.0,16.0,1,1,cyano_and_dino_prior_signal,18.0
salinity||saxitoxin,saxitoxin,salinity,TOXIN,ENV_FACTOR,environment_associated_with_toxin,10,6.0,12.0,1,1,cyano_and_dino_prior_signal,18.0
nutrient||nutrients,nutrient,nutrients,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,10,9.0,9.0,1,1,cyano_and_dino_prior_signal,18.0
bloom||nutrients,nutrients,bloom,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,9,14.0,4.0,1,1,cyano_and_dino_prior_signal,18.0
nitrogen||nutrients,nitrogen,nutrients,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,6,11.0,7.0,1,1,cyano_and_dino_prior_signal,18.0
alexandrium_tamarense||bloom,alexandrium_tamarense,bloom,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,4,1.0,17.0,1,1,cyano_and_dino_prior_signal,18.0
bloom||phosphorus,phosphorus,bloom,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,4,16.0,2.0,1,1,cyano_and_dino_prior_signal,18.0
bloom||elisa,bloom,elisa,ENV_FACTOR,DETECTION_METHOD,semantic_cooccurrence,2,14.0,4.0,1,1,cyano_and_dino_prior_signal,18.0
cyanobacterial||temperature,cyanobacterial,temperature,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,18.0,0.0,1,0,cyano_only_prior_signal,18.0
harmful_algal_bloom||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,harmful_algal_bloom,TOXIN,ENV_FACTOR,environment_associated_with_toxin;process_associated_with_toxin,14,7.0,10.0,1,1,cyano_and_dino_prior_signal,17.0
nitrate||saxitoxin,saxitoxin,nitrate,TOXIN,ENV_FACTOR,environment_associated_with_toxin,14,11.0,6.0,1,1,cyano_and_dino_prior_signal,17.0
nutrient||temperature,temperature,nutrient,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,9,7.0,10.0,1,1,cyano_and_dino_prior_signal,17.0
bloom||climate,climate,bloom,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,7,11.0,6.0,1,1,cyano_and_dino_prior_signal,17.0
