edge_key,source_cyano,target_cyano,source_type_cyano,target_type_cyano,relation_cyano,cyano_weight,support_datasets_cyano,source_dino_post,target_dino_post,source_type_dino_post,target_type_dino_post,relation_dino_post,dino_post_weight,support_datasets_dino_post,convergence_score
dinoflagellate||dinoflagellates,dinoflagellate,dinoflagellates,DINO_TAXON,DINO_TAXON,semantic_cooccurrence,40,cyano_all,dinoflagellate,dinoflagellates,DINO_TAXON,DINO_TAXON,semantic_cooccurrence,70,dino_post2015,110
biosynthesis||dinoflagellates,dinoflagellates,biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,47,cyano_all,dinoflagellates,biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,60,dino_post2015,107
cyanobacteria||paralytic_shellfish_toxins,paralytic_shellfish_toxins,cyanobacteria,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,82,cyano_all,paralytic_shellfish_toxins,cyanobacteria,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,24,dino_post2015,106
cylindrospermopsis||saxitoxin,saxitoxin,cylindrospermopsis,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,94,cyano_all,saxitoxin,cylindrospermopsis,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,3,dino_post2015,97
dinoflagellate||paralytic_shellfish_toxins,paralytic_shellfish_toxins,dinoflagellate,TOXIN,DINO_TAXON,taxon_associated_with_toxin,22,cyano_all,paralytic_shellfish_toxins,dinoflagellate,TOXIN,DINO_TAXON,taxon_associated_with_toxin,74,dino_post2015,96
bloom||cyanobacterial,cyanobacterial,bloom,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,90,cyano_all,cyanobacterial,bloom,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,dino_post2015,91
cyanobacteria||cylindrospermopsis,cyanobacteria,cylindrospermopsis,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,88,cyano_all,cyanobacteria,cylindrospermopsis,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,3,dino_post2015,91
dinoflagellates||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,dinoflagellates,TOXIN,DINO_TAXON,taxon_associated_with_toxin,40,cyano_all,paralytic_shellfish_poisoning,dinoflagellates,TOXIN,DINO_TAXON,taxon_associated_with_toxin,50,dino_post2015,90
cyanobacteria||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,cyanobacteria,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,71,cyano_all,paralytic_shellfish_poisoning,cyanobacteria,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,19,dino_post2015,90
cyanobacterial||toxicity,cyanobacterial,toxicity,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,85,cyano_all,cyanobacterial,toxicity,CYANO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,3,dino_post2015,88
cyanobacteria||cyanobacterium,cyanobacteria,cyanobacterium,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,82,cyano_all,cyanobacteria,cyanobacterium,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,6,dino_post2015,88
cyanobacteria||sxta,sxta,cyanobacteria,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,68,cyano_all,sxta,cyanobacteria,SXT_GENE,CYANO_TAXON,taxon_associated_with_gene,16,dino_post2015,84
aphanizomenon||saxitoxin,saxitoxin,aphanizomenon,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,79,cyano_all,saxitoxin,aphanizomenon,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,2,dino_post2015,81
alexandrium||alexandrium_catenella,alexandrium,alexandrium_catenella,DINO_TAXON,DINO_TAXON,semantic_cooccurrence,6,cyano_all,alexandrium,alexandrium_catenella,DINO_TAXON,DINO_TAXON,semantic_cooccurrence,75,dino_post2015,81
anabaena||saxitoxin,saxitoxin,anabaena,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,75,cyano_all,saxitoxin,anabaena,TOXIN,CYANO_TAXON,taxon_associated_with_toxin,4,dino_post2015,79
aphanizomenon||cyanobacteria,cyanobacteria,aphanizomenon,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,77,cyano_all,cyanobacteria,aphanizomenon,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,2,dino_post2015,79
anabaena||cyanobacteria,cyanobacteria,anabaena,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,75,cyano_all,cyanobacteria,anabaena,CYANO_TAXON,CYANO_TAXON,semantic_cooccurrence,4,dino_post2015,79
alexandrium||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,alexandrium,TOXIN,DINO_TAXON,taxon_associated_with_toxin,18,cyano_all,paralytic_shellfish_poisoning,alexandrium,TOXIN,DINO_TAXON,taxon_associated_with_toxin,59,dino_post2015,77
biosynthesis||sxta,sxta,biosynthesis,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,35,cyano_all,sxta,biosynthesis,SXT_GENE,BIOLOGICAL_PROCESS,gene_associated_with_process,42,dino_post2015,77
biosynthesis||dinoflagellate,dinoflagellate,biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,27,cyano_all,dinoflagellate,biosynthesis,DINO_TAXON,BIOLOGICAL_PROCESS,taxon_associated_with_process,49,dino_post2015,76
bloom||toxicity,bloom,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,42,cyano_all,bloom,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,33,dino_post2015,75
expression||saxitoxin,saxitoxin,expression,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,39,cyano_all,saxitoxin,expression,TOXIN,BIOLOGICAL_PROCESS,process_associated_with_toxin,36,dino_post2015,75
dinoflagellate||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,dinoflagellate,TOXIN,DINO_TAXON,taxon_associated_with_toxin,20,cyano_all,paralytic_shellfish_poisoning,dinoflagellate,TOXIN,DINO_TAXON,taxon_associated_with_toxin,54,dino_post2015,74
