Source,Target,Score,Common_Neighbors,Weighted_Common_Neighbors,Adamic_Adar,Preferential_Attachment,Bio_Bonus,Bridge_Nodes,Match
alexandrium catenella,alexandrium minutum,336.8216349653833,25,399.0,5.7318474157938875,3835,33,alexandrium;alexandrium fundyense;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;gene expression;genes involved;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;salinity;saxitoxin;saxitoxin biosynthesis;sxta;temperature;toxic dinoflagellate;toxin content;toxin production;toxin profile,0
alexandrium minutum,toxin composition,290.8756096052301,24,352.0,5.5431897866431825,4875,23,alexandrium;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;salinity;saxitoxin;strains of alexandrium;temperature;toxic dinoflagellate;toxin content;toxin production;toxin profile,0
toxin composition,sxta,286.63749249962933,23,320.0,5.387106409338743,7725,30,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin;species of alexandrium;strains of alexandrium;toxic dinoflagellate;toxin content;toxin production;toxin profile,0
toxin content,cyanobacteria,269.5086024421888,26,244.0,6.322468587788684,8798,36,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;dinoflagellates;gene cluster;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phylogenetic analysis;phylogeny;producing dinoflagellates;pyrodinium;saxitoxin;saxitoxin biosynthesis;saxitoxin-producing dinoflagellates;sxta;toxic dinoflagellate;toxin production;toxin synthesis,0
sxta,gonyautoxins,261.355606356655,24,236.0,5.601744002993981,8961,37,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;gene cluster;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogeny;producing dinoflagellates;saxitoxin;strains of alexandrium;toxic dinoflagellate;toxin content;toxin production;toxin profile,0
alexandrium tamarense,sxtg,258.36781458742587,30,195.0,7.533072882821459,5100,37,biosynthesis;cellular toxin;cyanobacteria;cyanobacteria and dinoflagellates;genes involved;genus alexandrium;gymnodinium;gymnodinium catenatum;homologs;involved in stx;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogeny;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;saxitoxin synthesis;stx synthesis;stx-producing;toxic cyanobacteria;toxic species;toxin production,0
alexandrium catenella,producing dinoflagellates,250.94122242355274,25,239.0,5.769165981466779,3894,30,alexandrium;alexandrium fundyense;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;genes involved;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;saxitoxin;saxitoxin biosynthesis;stx-producing;sxta;toxin composition;toxin content;toxin production;toxin profile;toxin synthesis;toxin-producing,0
saxitoxin biosynthesis,toxin composition,248.44558928678745,17,314.0,3.7331830138289575,4875,21,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium tamarense;biosynthesis;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin;temperature;toxin content;toxin production,0
gymnodinium,alexandrium fundyense,241.12765961444583,26,214.0,5.9977218365641765,3900,30,alexandrium;alexandrium catenella;alexandrium tamarense;biosynthesis;clade;cyanobacteria;dinoflagellates;each toxin;genes involved;genus alexandrium;gonyautoxins;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;strains of alexandrium;sxta;temperature;toxin composition;toxin content;toxin production;toxin profile,0
nitrogen,genus alexandrium,234.79725242639716,27,191.0,6.361900430796286,4550,31,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;gonyautoxins;neostx;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;salinity;saxitoxin;sxta;sxtg;temperature;toxic dinoflagellate;toxin content;toxin content and composition;toxin production;toxin profile;toxin-producing,0
temperature,producing dinoflagellates,229.99020788124372,23,236.0,5.247748533001763,4884,23,alexandrium;alexandrium fundyense;alexandrium minutum;alexandrium ostenfeldii;alexandrium tamarense;biosynthesis;dinoflagellates;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;pyrodinium;pyrodinium bahamense;saxitoxin;saxitoxin biosynthesis;toxin composition;toxin content;toxin production;toxin profile,0
saxitoxin biosynthesis,gonyautoxins,228.91859830167581,21,223.0,5.032787399295871,5655,28,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogenetic analysis;phylogeny;producing dinoflagellates;saxitoxin;temperature;toxin biosynthesis;toxin content;toxin production,0
alexandrium tamarense,sxt genes,226.1948985282043,23,217.0,5.833899359207062,4386,25,alexandrium;biosynthesis;cyanobacteria;cyanobacteria and dinoflagellates;dinoflagellates;freshwater cyanobacteria;genes involved;genus alexandrium;gymnodinium;gymnodinium catenatum;homologs;involved in stx;paralytic shellfish poisoning;phylogeny;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;stx synthesis;stx-producing;sxta;toxic cyanobacteria;toxic species;toxin synthesis,0
toxin content,sxtg,224.37655863077825,20,176.0,4.696244416761448,5300,39,alexandrium;alexandrium minutum;biosynthesis;cellular toxin;dinoflagellates;gene expression;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogeny;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;sxta;toxin production;toxin synthesis,0
toxin production,producing dinoflagellate,222.65303065456266,26,171.0,6.34384030668934,3800,31,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;homologs;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;saxitoxin synthesis;sxta;sxtg;toxic species;toxin producing;toxin profile;toxin-producing,0
alexandrium minutum,pyrodinium bahamense,222.63584518381984,18,193.0,4.1104699564080756,2015,37,alexandrium;biosynthesis;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;light;paralytic shellfish poisoning;producing dinoflagellates;salinity;saxitoxin;saxitoxin biosynthesis;sxta;temperature;toxic dinoflagellate;toxin content;toxin production,0
alexandrium tamarense,evolution,213.84221425879815,28,152.0,7.18149647136905,5406,28,alexandrium;biosynthesis;cyanobacteria;cyanobacteria and dinoflagellates;freshwater cyanobacteria;genes involved;genus alexandrium;gymnodinium;gymnodinium catenatum;homologs;involved in stx;paralytic shellfish poisoning;paralytic shellfish toxins;phylogeny;poisoning toxin;producing dinoflagellates;psp toxin profile;saxitoxin;saxitoxin biosynthesis;saxitoxin synthesis;shellfish poisoning toxin;species of alexandrium;stx-producing;toxin production;toxin profile,0
alexandrium minutum,pyrodinium,212.66945672879922,22,145.0,5.425532093510636,2405,38,alexandrium;cyanobacteria;dinoflagellates;evolution;gene copy;gene copy number;genus alexandrium;gymnodinium;gymnodinium catenatum;light;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;salinity;saxitoxin;saxitoxin biosynthesis;starting gene;sxta;temperature;toxic dinoflagellate;toxin content;toxin production,0
cyanobacteria,gonyautoxins,209.8360277543306,23,185.0,5.631194717803966,7221,25,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;dinoflagellates;environmental conditions;gene cluster;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phylogenetic analysis;phylogeny;producing dinoflagellates;saxitoxin;saxitoxin-producing dinoflagellates;toxic dinoflagellate;toxin analogues;toxin production,0
alexandrium catenella,phosphorus,205.24670303314522,18,183.0,3.9311431389870637,2714,31,alexandrium;alexandrium fundyense;alexandrium tamarense;biosynthesis;dinoflagellates;gonyautoxins;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;saxitoxin;saxitoxin biosynthesis;sxta;temperature;toxin composition;toxin content;toxin production;toxin profile,0
alexandrium fundyense,sxtg,204.8213034162364,20,174.0,4.6363601502658565,2500,30,alexandrium;alexandrium minutum;biosynthesis;cyanobacteria;dinoflagellates;genes involved;genus alexandrium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;saxitoxin synthesis;sxta;toxin production;toxin synthesis,0
gymnodinium catenatum,toxic dinoflagellate,203.28680618931574,22,192.0,5.0726540322756435,3420,22,alexandrium;alexandrium catenella;alexandrium minutum;alexandrium tamarense;cyanobacteria;dcstx;dinoflagellates;genus alexandrium;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;pyrodinium;pyrodinium bahamense;saxitoxin;stx-producing;sxta;temperature;toxin analogues;toxin composition;toxin content;toxin production;toxin profile,0
toxin content,producing dinoflagellate,201.2660190946049,22,155.0,5.2051274506697425,4028,30,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;dcstx;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;sxta;toxin profile;toxin-producing;toxins were analyzed,0
genus alexandrium,phosphorus,199.23585213309627,21,154.0,4.7323761861435605,3220,31,alexandrium;alexandrium fundyense;alexandrium minutum;alexandrium spp;alexandrium tamarense;biosynthesis;dinoflagellates;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;sxta;sxtg;temperature;toxin composition;toxin content;toxin production;toxin profile,0
toxin profile,pyrodinium bahamense,196.50588833440818,16,179.0,3.6492265993370263,3348,30,alexandrium;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;light;paralytic shellfish poisoning;producing dinoflagellates;salinity;saxitoxin;sxta;temperature;toxic dinoflagellate;toxin content;toxin production,0
toxin content,sxt genes,195.6928298519692,15,198.0,3.4934668539541636,4558,26,alexandrium;biosynthesis;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;phylogeny;producing dinoflagellates;pyrodinium;pyrodinium bahamense;saxitoxin;saxitoxin biosynthesis;sxta;toxin synthesis,0
gymnodinium,phylogeny,193.09773779526068,25,114.0,6.056978462903926,2574,32,alexandrium;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;evolution;gene transfer;genus alexandrium;gonyautoxins;horizontal gene;horizontal gene transfer;neosaxitoxin;paralytic shellfish poisoning;paralytic shellfish toxins;paralytic toxin;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;species of alexandrium;sxt genes;sxta;sxtg;toxin content;toxin production;toxin profile,0
gymnodinium catenatum,phylogeny,192.14078122056262,24,114.0,5.742320482459801,2508,33,alexandrium;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;evolution;gene transfer;genus alexandrium;gonyautoxins;horizontal gene;horizontal gene transfer;neosaxitoxin;paralytic shellfish poisoning;paralytic shellfish toxins;paralytic toxin;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;sxt genes;sxta;sxtg;toxin content;toxin production;toxin profile,0
toxin composition,cyanobacteria,191.2157305378172,19,199.0,4.4491619541054686,6225,18,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium spp;alexandrium tamarense;biosynthesis;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;saxitoxin-producing dinoflagellates;toxic dinoflagellate;toxin analogues;toxin production,0
alexandrium catenella,pyrodinium bahamense,190.99616306272924,16,173.0,3.5800424799371684,1829,29,alexandrium;biosynthesis;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;salinity;saxitoxin;saxitoxin biosynthesis;stx-producing;sxta;temperature;toxic dinoflagellate;toxin content;toxin production,0
gymnodinium,toxic dinoflagellate,189.29979018491116,22,168.0,5.0726540322756435,3510,21,alexandrium;alexandrium catenella;alexandrium minutum;alexandrium tamarense;cyanobacteria;dcstx;dinoflagellates;genus alexandrium;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;pyrodinium;pyrodinium bahamense;saxitoxin;stx-producing;sxta;temperature;toxin analogues;toxin composition;toxin content;toxin production;toxin profile,0
cyanobacteria,phosphorus,187.5194539620978,20,142.0,4.79852733949501,3818,29,alexandrium;alexandrium fundyense;alexandrium minutum;alexandrium spp;alexandrium tamarense;biosynthesis;dinoflagellates;environmental conditions;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;saxitoxin-producing dinoflagellates;sxta;sxta and sxtg;sxtg;toxin production,0
alexandrium tamarense,alexandrium ostenfeldii,185.81897219468578,22,163.0,5.395854575283438,3876,20,alexandrium;alexandrium minutum;alexandrium spp;dinoflagellates;genus alexandrium;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;phylogenetic analysis;phylogeny;producing dinoflagellates;salinity;saxitoxin;strains of alexandrium;temperature;toxic alexandrium;toxic algae;toxic species;toxin content;toxin production;toxin profile;toxin-producing,0
toxic dinoflagellate,phosphorus,185.0699874891797,21,152.0,5.0840313528273064,2070,24,alexandrium;alexandrium minutum;alexandrium spp;alexandrium tamarense;cellular toxin;dinoflagellates;environmental conditions;gonyautoxins;growth and toxin;growth and toxin production;light;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta;temperature;toxin composition;toxin content;toxin production;toxin profile,0
gonyautoxins,sxtg,184.58331299417426,16,135.0,3.6314108342713047,4350,35,alexandrium;alexandrium minutum;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogeny;producing dinoflagellates;saxitoxin;toxin production,0
toxin content,evolution,184.06689085106075,20,135.0,4.749978785168216,5618,29,alexandrium;alexandrium minutum;biosynthesis;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;phylogeny;poisoning toxin;producing dinoflagellates;pyrodinium;pyrodinium bahamense;saxitoxin;saxitoxin biosynthesis;shellfish poisoning toxin;sxta;toxin production;toxin profile,0
alexandrium tamarense,pyrodinium,182.7477988411531,20,129.0,4.709907003437175,3774,30,alexandrium;cyanobacteria;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;salinity;saxitoxin;saxitoxin biosynthesis;species of alexandrium;starting gene;stx-producing;sxta;temperature;toxic dinoflagellate;toxin content;toxin production,0
cyanobacteria,pyrodinium bahamense,182.64732002126757,17,162.0,3.9069039423965166,2573,26,alexandrium;biosynthesis;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;producing dinoflagellates;pyrodinium;saxitoxin;saxitoxin biosynthesis;stx-producing;sxt genes;sxta;toxic dinoflagellate;toxin production,0
nitrogen,gene expression,182.63874785812783,15,161.0,3.50189448944987,1430,29,alexandrium;alexandrium catenella;alexandrium minutum;biosynthesis;biosynthesis gene;dinoflagellates;gene cluster;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta;sxta and sxtg;sxtg;toxin content;toxin production,0
toxin profile,pyrodinium,179.11725465641163,18,129.0,4.156868325685325,3996,31,alexandrium;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;light;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;salinity;saxitoxin;species of alexandrium;sxta;temperature;toxic dinoflagellate;toxin content;toxin production,0
producing dinoflagellates,toxic species,178.3985412509907,25,125.0,5.963076172822602,3036,22,alexandrium;alexandrium minutum;alexandrium ostenfeldii;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;genes involved;gymnodinium;gymnodinium catenatum;homologs;involved in stx;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;saxitoxin;saxitoxin biosynthesis;strains of alexandrium;sxt genes;sxta;sxta and sxtg;sxtb;sxtg;toxin production;toxin profile,0
toxic dinoflagellate,producing dinoflagellates,176.76473289031932,19,160.0,4.255468650862677,2970,21,alexandrium;alexandrium minutum;alexandrium tamarense;cyanobacteria;dinoflagellates;genus alexandrium;gonyautoxins;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;pyrodinium;pyrodinium bahamense;saxitoxin;stx-producing;sxta;toxin composition;toxin content;toxin production;toxin profile,0
cyanobacteria,gene expression,175.12903713842692,16,176.0,3.791273953412632,1826,20,alexandrium;alexandrium catenella;alexandrium minutum;biosynthesis;biosynthesis gene;dinoflagellates;gene cluster;genes involved;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis;sxta;sxta and sxtg;sxtg;toxin production,0
genus alexandrium,genes involved,174.80683325440515,21,117.0,4.763442835035606,3080,28,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;evolution;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;stx-producing;sxt genes;sxta;sxtg;toxin production,0
gymnodinium catenatum,salinity,174.4857613458704,20,177.0,4.631726972286231,3572,14,alexandrium;alexandrium catenella;alexandrium minutum;alexandrium tamarense;dinoflagellates;genus alexandrium;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxin profiles;paralytic shellfish toxins;pyrodinium;pyrodinium bahamense;saxitoxin;shellfish toxin profiles;sulfocarbamoyl toxin;temperature;toxin composition;toxin content;toxin production;toxin profile,0
gymnodinium catenatum,gene expression,173.8553976910741,14,178.0,3.048070280193561,1672,22,alexandrium;alexandrium catenella;alexandrium minutum;biosynthesis;dinoflagellates;genes involved;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis;sxta;sxtg;toxin content;toxin production,0
alexandrium fundyense,evolution,172.8441313270275,18,133.0,4.134261741294329,2650,27,alexandrium;alexandrium minutum;biosynthesis;clade;cyanobacteria;dinoflagellates;genes involved;genus alexandrium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;saxitoxin synthesis;sxta;toxin production;toxin profile,0
producing dinoflagellates,cellular toxin,172.66001167622937,19,116.0,4.293758408474007,1914,30,alexandrium;alexandrium minutum;alexandrium tamarense;biosynthesis;dinoflagellates;gonyautoxins;nitrogen;nutrient limitation;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;saxitoxin;sxta;sxta and sxtg;sxtg;toxin composition;toxin content;toxin production;toxin profile,0
genes involved,toxin synthesis,171.97813679332322,26,112.0,6.779147987179356,1452,20,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium pacificum;alexandrium tamarense;biosynthesis;candidate genes;cyanobacteria;cyanobacteria and dinoflagellates;homologs;involved in toxin;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;stx synthesis;stx-producing;sxt genes;sxta;sxta and sxtg;sxtb;sxtg;toxic cyanobacteria;toxin production,0
alexandrium catenella,pyrodinium,171.6773847360686,17,125.0,3.7776426892120685,2183,30,alexandrium;cyanobacteria;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;salinity;saxitoxin;saxitoxin biosynthesis;stx-producing;sxta;temperature;toxic dinoflagellate;toxin content;toxin production,0
alexandrium catenella,evolution,171.1847394688483,17,135.0,3.8868883060052326,3127,27,alexandrium;biosynthesis;biosynthesis genes;cyanobacteria;dinoflagellates;genes involved;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis;stx-producing;sxta;toxin production;toxin profile,0
pyrodinium bahamense,sxtg,169.77513379550965,15,144.0,3.3672687379737964,1550,27,alexandrium;biosynthesis;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;stx-producing;sxt genes;sxta;toxin production,0
alexandrium tamarense,sxta and sxtg,169.6916257578995,23,93.0,5.726125762808934,3060,28,alexandrium;alexandrium minutum;biosynthesis;cellular toxin;cyanobacteria;cyanobacteria and dinoflagellates;dinoflagellates;genes involved;homologs;involved in stx;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin;stx synthesis;stx-producing;sxta;toxic cyanobacteria;toxic species;toxin production;toxin synthesis,0
alexandrium minutum,stx-producing,169.17009142241253,22,104.0,5.096974896222356,2340,27,alexandrium;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;evolution;genes involved;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;strains of alexandrium;sxt gene;sxta;sxta and sxtg;sxtg;toxic dinoflagellate;toxin production,0
toxin profile,sxt genes,168.2951908208266,12,188.0,2.691139165067544,4644,19,alexandrium;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;phylogeny;producing dinoflagellates;saxitoxin;sxta;toxic species,0
alexandrium fundyense,alexandrium spp,168.11907792210997,17,147.0,3.6778778942845682,1300,23,alexandrium;alexandrium minutum;alexandrium tamarense;cyanobacteria;dinoflagellates;genus alexandrium;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;saxitoxin;sxta;temperature;toxin composition;toxin content;toxin production;toxin profile,0
producing dinoflagellates,gene expression,167.36321020016138,15,163.0,3.4075057894587424,1452,21,alexandrium;alexandrium minutum;biosynthesis;dinoflagellates;gene cluster;genes involved;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis;sxta;sxta and sxtg;sxtg;toxin content;toxin production,0
temperature,producing dinoflagellate,165.59664855924046,18,143.0,4.041881718331852,2812,21,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;dcstx;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;saxitoxin;saxitoxin biosynthesis;toxin profile,0
sxta,toxin-producing,164.75395048893193,16,124.0,3.6228759572891205,2369,28,alexandrium;alexandrium catenella;alexandrium spp;alexandrium tamarense;dinoflagellates;genus alexandrium;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phylogeny;producing dinoflagellate;producing dinoflagellates;saxitoxin;toxin content;toxin production;toxin profile,0
alexandrium minutum,phylogeny,164.51205201123344,20,98.0,4.558790516546035,2145,29,alexandrium;alexandrium ostenfeldii;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;evolution;genus alexandrium;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;psp toxin profile;saxitoxin;saxitoxin biosynthesis;sxta;sxtg;toxin content;toxin production;toxin profile,0
producing dinoflagellate,evolution,164.4991649601329,18,117.0,4.06499257431417,2014,27,alexandrium;alexandrium minutum;biosynthesis;cyanobacteria;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;homologs;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;saxitoxin synthesis;sxta;sxtg;toxin profile,0
alexandrium catenella,cellular toxin,164.4939723919791,16,121.0,3.4237545378760825,1711,29,alexandrium;alexandrium tamarense;biosynthesis;dinoflagellates;gonyautoxins;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta;temperature;toxic dinoflagellate;toxin composition;toxin content;toxin production;toxin profile,0
gene expression,phosphorus,164.4580786088518,13,133.0,2.832580952242491,1012,30,alexandrium;alexandrium minutum;biosynthesis;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis;sxta;sxta and sxtg;sxtg;toxin content;toxin production,0
sxta,alexandrium ostenfeldii,164.21909980467618,18,146.0,4.360938166821241,3914,19,alexandrium;alexandrium minutum;alexandrium spp;dinoflagellates;genus alexandrium;paralytic shellfish poisoning;paralytic shellfish toxins;phylogeny;poisoning toxins;producing dinoflagellates;saxitoxin;shellfish poisoning toxins;strains of alexandrium;toxic alexandrium;toxic species;toxin content;toxin production;toxin profile,0
nitrogen,genes involved,164.15232433753917,18,115.0,4.224287030338039,2860,27,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;biosynthesis gene;cyanobacteria;dinoflagellates;gene cluster;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;sxta;sxta and sxtg;sxtg;toxin production,0
temperature,evolution,163.6281672001823,15,131.0,3.3302870756925156,3922,27,alexandrium;alexandrium minutum;biosynthesis;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;pyrodinium;pyrodinium bahamense;saxitoxin;saxitoxin biosynthesis;toxin production;toxin profile,0
gymnodinium,alexandrium pacificum,163.56140224681909,13,182.0,2.938340698785969,1794,17,alexandrium;alexandrium catenella;alexandrium tamarense;biosynthesis;dinoflagellates;genes involved;paralytic shellfish poisoning;paralytic shellfish toxins;pst-producing;saxitoxin;saxitoxin biosynthesis;sxta;toxic species,0
toxin composition,sxtg,163.43245402810578,14,132.0,3.1058550510216114,3750,28,alexandrium;biosynthesis;cellular toxin;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin;toxin production,0
evolution,toxic species,163.3826016724708,19,101.0,4.327643324454283,2438,29,alexandrium;alexandrium minutum;biosynthesis;cyanobacteria;dinoflagellates;genes involved;gymnodinium;gymnodinium catenatum;homologs;involved in stx;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis;sxt genes;sxta;sxtg;toxin production;toxin profile,0
