Source,Target,Score,Common_Neighbors,Weighted_Common_Neighbors,Adamic_Adar,Preferential_Attachment,Bio_Bonus,Bridge_Nodes,Match
stx biosynthesis genes,sxta and sxtg,77.92321089309806,6,50.0,1.3129523710351247,390,17,alexandrium;biosynthesis;dinoflagellates;gene expression;saxitoxin;sxta,0
alexandrium minutum,other saxitoxin,77.91912878157153,11,42.0,2.3466540159420246,2340,12,alexandrium;alexandrium tamarense;genus alexandrium;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;salinity;saxitoxin;temperature;toxin content;toxin profile,0
alexandrium minutum,other saxitoxin derivatives,77.91912878157153,11,42.0,2.3466540159420246,2340,12,alexandrium;alexandrium tamarense;genus alexandrium;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;salinity;saxitoxin;temperature;toxin content;toxin profile,0
phosphorus,amidinotransferase,77.91675941102972,6,14.0,1.300873383638119,414,26,alexandrium;biosynthesis;saxitoxin;saxitoxin biosynthesis;sxta;sxtg,0
toxic dinoflagellate,gene transfer,77.90131371200265,7,52.0,1.4839854816125524,990,15,alexandrium;cyanobacteria;dinoflagellates;paralytic shellfish poisoning;saxitoxin;sxta;toxin analogues,0
alexandrium ostenfeldii,toxin synthesis,77.88264331476236,8,67.0,1.6050659629931379,1254,10,alexandrium;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;toxin content;toxin production,0
secondary metabolites,origin of saxitoxin,77.8825172630268,8,20.0,1.7371167123481297,208,22,biosynthesis;cyanobacteria;dinoflagellates;evolution;paralytic shellfish poisoning;saxitoxin;sxt genes;sxta,0
phylogeny,secondary metabolite,77.8759462144416,7,21.0,1.403398429831583,561,23,alexandrium;alexandrium tamarense;biosynthesis;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;toxin content,0
toxin production,toxic profiles,77.85971448353746,12,40.0,2.6363419355470517,2700,11,alexandrium;alexandrium minutum;alexandrium ostenfeldii;dinoflagellates;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;strains of alexandrium;toxic species;toxin profile,0
sxta and sxtg,saxitoxin biosynthetic,77.85139819077239,8,40.0,1.5985548403403451,450,17,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta,0
dcstx,environmental conditions,77.83629529683522,10,56.0,2.1819919093975813,720,10,alexandrium;dinoflagellates;gonyautoxins;growth and toxin;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;temperature;toxic dinoflagellate;toxin profile,0
alexandrium spp,strain of alexandrium,77.83537208811121,8,32.0,1.7018597770130435,234,19,alexandrium;alexandrium tamarense;dinoflagellates;nitrogen;phosphorus;saxitoxin;sxta;toxin production,0
producing dinoflagellates,strain of alexandrium,77.79986003381194,8,31.0,1.7018597770130435,594,19,alexandrium;alexandrium tamarense;dinoflagellates;nitrogen;phosphorus;saxitoxin;sxta;toxin production,0
toxin accumulation,dominant toxins,77.79908382831142,10,53.0,2.035495542937521,592,11,alexandrium;dinoflagellates;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;toxin composition;toxin content;toxin production;toxin profile,0
sxta and sxtg,phosphorus limitation,77.79475919935746,7,32.0,1.508563095824542,690,20,alexandrium;dinoflagellates;nitrogen;phosphorus;producing dinoflagellates;saxitoxin;toxin production,0
