Source,Target,Score,Common_Neighbors,Weighted_Common_Neighbors,Adamic_Adar,Preferential_Attachment,Bio_Bonus,Bridge_Nodes,Match
paralytic shellfish poisoning,nutrient limitation,137.49434329189495,16,132.0,3.75709330680125,4656,12,alexandrium;alexandrium fundyense;cellular toxin;dinoflagellates;dominant toxins;each toxin;gonyautoxins;nitrogen;phosphorus;producing dinoflagellates;saxitoxin;strains of alexandrium;toxin composition;toxin content;toxin production;toxin profile,1
alexandrium minutum,toxin synthesis,137.42523465890835,16,102.0,3.5298513991043445,2145,20,alexandrium;alexandrium fundyense;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;sxta;sxta and sxtg;sxtg;toxin content;toxin production,1
gymnodinium catenatum,sxta and sxtg,136.6263037762929,17,94.0,3.92003972171691,2280,20,alexandrium;alexandrium minutum;biosynthesis;cyanobacteria;dinoflagellates;genes involved;involved in stx;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;stx-producing;sxt genes;sxta;sxtg;toxic species;toxin production,1
alexandrium catenella,biosynthesis gene,135.5246838200267,12,92.0,2.6896033899669507,1003,27,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;gene expression;genes involved;nitrogen;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta;toxin production,1
alexandrium spp,sxtg,134.79452558999202,12,115.0,2.569693783578588,1300,21,alexandrium;alexandrium minutum;cyanobacteria;dinoflagellates;genus alexandrium;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;saxitoxin;sxta;toxin production,1
sxtg,biosynthesis genes,134.46501513234085,10,109.0,2.2295870629411914,700,25,alexandrium;biosynthesis;dinoflagellates;evolution;gene expression;genus alexandrium;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta,1
toxin production,sxt gene,133.40460286665183,16,100.0,3.8307933004043364,2500,18,alexandrium;alexandrium minutum;alexandrium spp;biosynthesis;dinoflagellates;gene cluster;genus alexandrium;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis;stx-producing;sxta;toxic alexandrium;toxic dinoflagellate;toxic species,1
saxitoxin biosynthesis,freshwater cyanobacteria,133.0621294752857,15,75.0,3.3255617453431494,1300,26,alexandrium;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;evolution;genes involved;homologs;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;sxt genes;sxta;toxin production,1
cyanobacteria,sxtb,133.01525739567253,20,106.0,5.420014039161178,1826,10,candidate genes;cyanobacteria and dinoflagellates;dinoflagellates;genes involved;homologs;involved in stx;non-toxic species;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;stx synthesis;stx-producing;sxt genes;sxta;sxta and sxtg;sxtg;toxic cyanobacteria;toxic species;toxin production;toxin synthesis,1
biosynthesis,cyanobacteria and dinoflagellates,132.64096785846186,18,58.0,4.605850720915537,2093,25,alexandrium tamarense;cyanobacteria;dinoflagellates;evolution;freshwater cyanobacteria;genes involved;homologs;paralytic shellfish poisoning;saxitoxin;saxitoxin synthesis;secondary metabolites;stx-producing;sxt genes;sxta;sxta and sxtg;sxtg;toxin production;toxin synthesis,1
alexandrium,toxic cyanobacteria,132.43805554972806,16,125.0,3.910121529031094,4515,11,alexandrium tamarense;cyanobacteria;dinoflagellates;genes involved;homologs;involved in stx;paralytic shellfish poisoning;saxitoxin;stx-producing;sxt genes;sxta;sxta and sxtg;sxtg;toxic species;toxin production;toxin synthesis,1
toxin production,biosynthesis in dinoflagellates,132.22589178355685,14,78.0,3.1502747041042083,1900,26,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;evolution;genes involved;gymnodinium;gymnodinium catenatum;homologs;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta;sxtg,1
paralytic shellfish toxins,biosynthesis in dinoflagellates,132.21407775116012,14,77.0,3.2169395555899194,3382,26,alexandrium;biosynthesis;cyanobacteria;dinoflagellate species;dinoflagellates;evolution;genes involved;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta;sxtg,1
paralytic shellfish toxins,light,132.0757187292862,18,93.0,4.472319243714201,4094,16,alexandrium;alexandrium minutum;cellular toxin;dinoflagellates;environmental conditions;gonyautoxins;growth and toxin;growth and toxin production;nitrogen;phosphorus;pyrodinium;salinity;saxitoxin;temperature;toxic dinoflagellate;toxin content;toxin production;toxin profile,1
gymnodinium,sxta and sxtg,131.63928589889616,17,88.0,3.92003972171691,2340,19,alexandrium;alexandrium minutum;biosynthesis;cyanobacteria;dinoflagellates;genes involved;involved in stx;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;stx-producing;sxt genes;sxta;sxtg;toxic species;toxin production,1
alexandrium minutum,biosynthesis genes,131.59603263745356,10,107.0,2.2295870629411914,910,24,alexandrium;biosynthesis;dinoflagellates;evolution;gene expression;genus alexandrium;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta,1
paralytic shellfish poisoning,light,131.49094139003114,18,96.0,4.42971771923883,4462,15,alexandrium;alexandrium minutum;cellular toxin;dinoflagellates;environmental conditions;gonyautoxins;growth and toxin;nitrogen;phosphorus;pyrodinium;pyrodinium bahamense;salinity;saxitoxin;temperature;toxic dinoflagellate;toxin content;toxin production;toxin profile,1
toxin production,stx biosynthesis genes,131.47870788503218,8,141.0,1.797754548591974,1300,18,alexandrium;alexandrium catenella;biosynthesis;dinoflagellates;gene expression;saxitoxin;saxitoxin biosynthesis;sxta,1
gymnodinium catenatum,biosynthesis genes,131.47724682266238,11,101.0,2.497293927863543,1064,24,alexandrium;alexandrium catenella;biosynthesis;clade;dinoflagellates;evolution;genus alexandrium;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta,1
cyanobacteria,clade,131.3658196302846,15,75.0,3.4036262957907355,1494,25,alexandrium;alexandrium fundyense;biosynthesis;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;producing dinoflagellates;pyrodinium;saxitoxin;saxitoxin biosynthesis;sxt genes;sxta,1
sxt genes,biosynthesis in dinoflagellates,131.304255280614,14,77.0,3.1502747041042083,817,26,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;evolution;genes involved;gymnodinium;gymnodinium catenatum;homologs;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta;sxtg,1
pyrodinium,alexandrium spp,131.26722930979923,14,100.0,3.2774008679667195,962,20,alexandrium;cyanobacteria;dinoflagellates;gene copy;gene copy number;genus alexandrium;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta;temperature;toxic dinoflagellate;toxin content;toxin production,1
alexandrium minutum,toxin-producing,130.92664436786055,16,121.0,3.5904564295311157,1495,12,alexandrium;alexandrium ostenfeldii;alexandrium spp;alexandrium tamarense;dinoflagellates;genus alexandrium;gonyautoxins;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;toxin content;toxin production;toxin profile,1
dinoflagellates,core genes,130.59018547054103,15,101.0,3.994182330357572,3696,17,alexandrium;alexandrium pacificum;alexandrium tamarense;biosynthesis;gene cluster;genes involved;involved in stx;involved in stx biosynthesis;paralytic shellfish toxins;pst-producing;saxitoxin;saxitoxin biosynthesis;sxt gene;sxta;toxic species,1
