source,target,weight
gonyautoxin,saxitoxin,15
mouse_bioassay,toxicity,15
saxitoxin,sxti,15
sxt_genes,sxta,15
anabaena,dolichospermum,14
anabaena,planktothrix,14
bloom,elisa,14
bloom,nutrients,14
cyanobacterial,neosaxitoxin,14
dinoflagellates,toxin_biosynthesis,14
gene_expression,saxitoxin,14
lc_ms_ms,mass_spectrometry,14
sxta,sxtg,14
sxta,sxti,14
temperature,toxicity,14
aphanizomenon,lc_ms,13
cyanobacteria,gonyautoxin,13
cyanobacteria,horizontal_gene_transfer,13
cyanobacteria,nitrate,13
cyanobacterium,lyngbya,13
dinoflagellates,sxt_genes,13
evolution,saxitoxin,13
biosynthesis,horizontal_gene_transfer,12
biosynthesis,sxtg,12
biosynthesis,sxti,12
bloom,harmful_algal_bloom,12
climate,toxicity,12
cyanobacteria,warming,12
cyanobacterial,toxin_biosynthesis,12
cyanobacterium,neosaxitoxin,12
dinoflagellates,saxitoxin_biosynthesis,12
horizontal_gene_transfer,saxitoxin,12
phylogeny,saxitoxin,12
saxitoxin,sxtg,12
biosynthesis,evolution,11
biosynthesis,regulation,11
bloom,climate,11
chemical_analysis,saxitoxin,11
cyanobacteria,scytonema,11
cyanobacterial,mouse_bioassay,11
cyanobacterial,sxt_genes,11
cyanobacterium,temperature,11
dinoflagellates,regulation,11
dinoflagellates,sxtg,11
expression,regulation,11
gonyautoxin,neosaxitoxin,11
lyngbya,toxicity,11
nitrate,saxitoxin,11
nitrogen,nutrients,11
nutrients,phosphorus,11
saxitoxin,transcription,11
saxitoxin_biosynthesis,sxt_genes,11
alexandrium,alexandrium_minutum,10
alexandrium,alexandrium_tamarense,10
alexandrium_minutum,cyanobacteria,10
alexandrium_minutum,dinoflagellates,10
chemical_analysis,toxicity,10
cyanobacteria,pyrodinium,10
cyanobacteria,transcriptome,10
cyanobacterial,nutrients,10
cyanobacterial,sxti,10
cyanobacterium,light,10
dinoflagellate,transcriptome,10
dinoflagellates,horizontal_gene_transfer,10
dinoflagellates,pyrodinium,10
dinoflagellates,transcriptome,10
gymnodinium,saxitoxin,10
mouse_bioassay,paralytic_shellfish_toxins,10
saxitoxin_biosynthesis,sxta,10
alexandrium,sxtg,9
alexandrium_tamarense,cyanobacteria,9
alexandrium_tamarense,dinoflagellate,9
aphanizomenon,lc_ms_ms,9
cyanobacteria,gymnodinium,9
cyanobacteria,phylogeny,9
cyanobacteria,sxts,9
cyanobacteria,transcriptomic,9
cyanobacterial,harmful_algal_bloom,9
cyanobacterial,lyngbya,9
cyanobacterium,mouse_bioassay,9
cyanobacterium,transcription,9
dinoflagellates,evolution,9
dinoflagellates,gymnodinium,9
dinoflagellates,sxti,9
expression,transcription,9
gonyautoxin,paralytic_shellfish_toxins,9
liquid_chromatography,mass_spectrometry,9
phylogenetic,phylogeny,9
pyrodinium,saxitoxin,9
saxitoxin,scytonema,9
saxitoxin,warming,9
sxta,sxtb,9
anabaena,lyngbya,8
climate,temperature,8
cyanobacteria,sxtb,8
