source,target,weight
alexandrium,salinity,11
alexandrium fundyense,paralytic_shellfish_poisoning,11
alexandrium fundyense,stx,11
alexandrium ostenfeldii,dinoflagellate,11
biosynthesis,sxta,11
bloom,harmful algal bloom,11
cyanobacteria,sxta,11
dinoflagellate,gene expression,11
dinoflagellate,nutrients,11
dinoflagellate,phylogeny,11
nitrate,nitrogen,11
nitrate,toxin production,11
nitrogen,phosphorus,11
nitrogen,toxicity,11
salinity,temperature,11
alexandrium,nutrients,10
anabaena,cyanobacteria,10
anabaena,dinoflagellate,10
biosynthesis,saxitoxin biosynthesis,10
biosynthesis,toxin biosynthesis,10
bloom,pyrodinium bahamense,10
dinoflagellate,lc_ms,10
light,temperature,10
paralytic_shellfish_poisoning,sxta,10
phylogeny,saxitoxin,10
saxitoxin,saxitoxin biosynthesis,10
alexandrium,evolution,9
alexandrium,phylogeny,9
alexandrium ostenfeldii,paralytic_shellfish_poisoning,9
cyanobacteria,phylogenetic,9
dinoflagellate,phosphate,9
dinoflagellate,phosphorus,9
dinoflagellate,saxitoxin biosynthesis,9
dinoflagellate,toxin biosynthesis,9
evolution,paralytic_shellfish_poisoning,9
light,toxicity,9
mass_spectrometry,stx,9
nutrient,nutrients,9
nutrient,salinity,9
phosphate,toxin production,9
salinity,saxitoxin,9
salinity,toxicity,9
alexandrium,toxin biosynthesis,8
alexandrium catenella,toxicity,8
alexandrium ostenfeldii,saxitoxin,8
alexandrium tamarense,nitrate,8
anabaena,saxitoxin,8
hplc,mass_spectrometry,8
lc_ms,paralytic_shellfish_poisoning,8
lc_ms,saxitoxin,8
phylogenetic,toxicity,8
alexandrium,alexandrium tamiyavanichii,7
alexandrium,saxitoxin biosynthesis,7
alexandrium ostenfeldii,toxicity,7
alexandrium tamarense,regulation,7
alexandrium tamiyavanichii,dinoflagellate,7
aphanizomenon,dinoflagellate,7
aphanizomenon,saxitoxin,7
biosynthesis,evolution,7
