Source,Target,Relation,Source_Type,Target_Type,Weight,Paper_Count,Paper_IDs,Years,Edge_Key,Transfer_Match
cyanobacteria,sxts,SEMANTIC_CO_OCCURS,GENE;TAXON_GROUP,GENE;TAXON_GROUP,6,6,23850895;35324712;36068755;38705616;40449983;41702991,2013.0;2022.0;2024.0;2025.0;2026.0,"('cyanobacteria', 'sxts')",1
dinoflagellates,gene transfer,SEMANTIC_CO_OCCURS,TAXON_GROUP,EVOLUTIONARY_PROCESS,6,6,18850059;19331657;23335767;23966031;38705616;39545400,2008.0;2009.0;2013.0;2024.0;2025.0,"('dinoflagellates', 'gene transfer')",1
dinoflagellates,horizontal gene transfer,SEMANTIC_CO_OCCURS,TAXON_GROUP,EVOLUTIONARY_PROCESS,6,6,18850059;19331657;23335767;23966031;38705616;39545400,2008.0;2009.0;2013.0;2024.0;2025.0,"('dinoflagellates', 'horizontal gene transfer')",1
dinoflagellates,toxin production,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,6,6,12957964;22960450;22983012;35198665;36326655;39545400,2003.0;2012.0;2022.0;2025.0,"('dinoflagellates', 'toxin production')",1
environmental factors,saxitoxin,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,TOXIN,ENV_FACTOR,6,6,23892224;23955286;24333522;38244903;38393148;38401471,2013.0;2014.0;2024.0,"('environmental factors', 'saxitoxin')",1
gene transfer,saxitoxin biosynthesis,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM;EVOLUTIONARY_PROCESS,BIOLOGICAL_MECHANISM;EVOLUTIONARY_PROCESS,6,6,18487408;18850059;23335767;23966031;38705616;40209228,2008.0;2013.0;2024.0;2025.0,"('gene transfer', 'saxitoxin biosynthesis')",1
nitrogen,saxitoxin biosynthesis,SEMANTIC_CO_OCCURS,ENV_FACTOR,BIOLOGICAL_MECHANISM,6,6,24460188;26568470;28073499;29027918;36689843;40209228,2014.0;2016.0;2017.0;2023.0;2025.0,"('nitrogen', 'saxitoxin biosynthesis')",1
nitrogen,toxin production,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,TOXIN,ENV_FACTOR,6,6,24956074;28073477;28073499;30079124;36470609;41334952,2014.0;2016.0;2017.0;2022.0;2025.0,"('nitrogen', 'toxin production')",1
paralytic shellfish poisoning,toxic cyanobacteria,SEMANTIC_CO_OCCURS,TAXON_GROUP;TOXIN,TAXON_GROUP;TOXIN,6,6,16650472;16879849;22628533;35031458;40449983;7660371,1995.0;2006.0;2013.0;2022.0;2025.0,"('paralytic shellfish poisoning', 'toxic cyanobacteria')",1
saxitoxin,toxin producing,SEMANTIC_CO_OCCURS,TOXIN;TOXIN_PHENOTYPE,TOXIN;TOXIN_PHENOTYPE,6,6,10414862;16650472;24275084;27907126;29705145,1999.0;2006.0;2014.0;2016.0;2018.0,"('saxitoxin', 'toxin producing')",1
saxitoxin biosynthesis,sxt genes,GENE_MECHANISM_RELATION,BIOLOGICAL_MECHANISM;GENE,BIOLOGICAL_MECHANISM;GENE,6,6,28073499;29027918;36689843;38705616;40209228;40449983,2016.0;2017.0;2023.0;2024.0;2025.0,"('saxitoxin biosynthesis', 'sxt genes')",1
saxitoxin biosynthesis,sxtg,GENE_MECHANISM_RELATION,BIOLOGICAL_MECHANISM;GENE,BIOLOGICAL_MECHANISM;GENE,6,6,23335767;28073499;29705145;36689843;38705616;40449983,2013.0;2016.0;2018.0;2023.0;2024.0;2025.0,"('saxitoxin biosynthesis', 'sxtg')",1
temperature,temperature,SEMANTIC_CO_OCCURS,ENV_FACTOR,ENV_FACTOR,6,6,26888523;29027918;30380769;30646514;33401417;38754694,2016.0;2017.0;2018.0;2019.0;2021.0;2024.0,"('temperature', 'temperature')",1
biosynthesis,conserved,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM;EVOLUTIONARY_PROCESS,BIOLOGICAL_MECHANISM;EVOLUTIONARY_PROCESS,6,5,21076133;26568470;35031458;40449983;41702991,2011.0;2016.0;2022.0;2025.0;2026.0,"('biosynthesis', 'conserved')",1
conserved,paralytic shellfish poisoning,SEMANTIC_CO_OCCURS,TOXIN,EVOLUTIONARY_PROCESS,6,5,22983012;23457475;27907126;35031458;40449983,2012.0;2013.0;2016.0;2022.0;2025.0,"('conserved', 'paralytic shellfish poisoning')",1
cyanobacteria,homologs,SEMANTIC_CO_OCCURS,TAXON_GROUP,EVOLUTIONARY_PROCESS,6,5,21625593;22628533;23966031;25421324;40449983,2011.0;2013.0;2014.0;2025.0,"('cyanobacteria', 'homologs')",1
dinoflagellates,homologs,SEMANTIC_CO_OCCURS,TAXON_GROUP,EVOLUTIONARY_PROCESS,6,5,21625593;22628533;23966031;25421324;40449983,2011.0;2013.0;2014.0;2025.0,"('dinoflagellates', 'homologs')",1
light,temperature,SEMANTIC_CO_OCCURS,ENV_FACTOR,ENV_FACTOR,6,3,23892224;24333522;30646514,2013.0;2014.0;2019.0,"('light', 'temperature')",1
alexandrium,alexandrium pacificum,SEMANTIC_CO_OCCURS,SPECIES;TAXON_GROUP,SPECIES;TAXON_GROUP,5,5,35031458;35323466;36689843;38270276;38705616,2022.0;2023.0;2024.0,"('alexandrium', 'alexandrium pacificum')",1
alexandrium,sxt genes,SEMANTIC_CO_OCCURS,TAXON_GROUP,GENE,5,5,25421324;28073499;36326655;36689843;38705616,2014.0;2016.0;2022.0;2023.0;2024.0,"('alexandrium', 'sxt genes')",1
alexandrium minutum,saxitoxin,SPECIES_ASSOCIATED_WITH_TOXIN,SPECIES;TOXIN,SPECIES;TOXIN,5,5,12565757;21625593;23335767;28073499;33298362,2003.0;2011.0;2013.0;2016.0;2020.0,"('alexandrium minutum', 'saxitoxin')",1
alexandrium pacificum,biosynthesis,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM;SPECIES,BIOLOGICAL_MECHANISM;SPECIES,5,5,35031458;36689843;38270276;38705616,2022.0;2023.0;2024.0,"('alexandrium pacificum', 'biosynthesis')",1
alexandrium pacificum,cyanobacteria,SEMANTIC_CO_OCCURS,SPECIES,TAXON_GROUP,5,5,35031458;35323466;36689843;38270276;38705616,2022.0;2023.0;2024.0,"('alexandrium pacificum', 'cyanobacteria')",1
alexandrium pacificum,dinoflagellates,SEMANTIC_CO_OCCURS,SPECIES;TAXON_GROUP,SPECIES;TAXON_GROUP,5,5,35031458;35323466;36689843;38270276;38705616,2022.0;2023.0;2024.0,"('alexandrium pacificum', 'dinoflagellates')",1
alexandrium pacificum,saxitoxin,SPECIES_ASSOCIATED_WITH_TOXIN,SPECIES;TOXIN,SPECIES;TOXIN,5,5,35031458;35323466;36689843;38270276;38705616,2022.0;2023.0;2024.0,"('alexandrium pacificum', 'saxitoxin')",1
alexandrium tamarense,saxitoxin,SPECIES_ASSOCIATED_WITH_TOXIN,TOXIN,SPECIES,5,5,12565757;21625593;22628533;26842222;27817832,2003.0;2011.0;2013.0;2016.0,"('alexandrium tamarense', 'saxitoxin')",1
biosynthesis,phosphorus,SEMANTIC_CO_OCCURS,ENV_FACTOR,BIOLOGICAL_MECHANISM,5,5,25825710;26239440;26568470;28073499;40209228,2015.0;2016.0;2025.0,"('biosynthesis', 'phosphorus')",1
biosynthesis,saxitoxin biosynthesis genes,GENE_MECHANISM_RELATION,GENE,BIOLOGICAL_MECHANISM,5,5,29705145;34283333;35198665;38705616;40449983,2018.0;2021.0;2022.0;2024.0;2025.0,"('biosynthesis', 'saxitoxin biosynthesis genes')",1
clade,phylogenetic analysis,SEMANTIC_CO_OCCURS,EVOLUTIONARY_PROCESS,EVOLUTIONARY_PROCESS,5,5,28606423;30502809;32307073;38943258;41702991,2017.0;2018.0;2020.0;2024.0;2026.0,"('clade', 'phylogenetic analysis')",1
cyanobacteria,pyrodinium,SEMANTIC_CO_OCCURS,TAXON_GROUP,TAXON_GROUP,5,5,19041661;20714432;28604648;33875183;35198665,2009.0;2010.0;2017.0;2021.0;2022.0,"('cyanobacteria', 'pyrodinium')",1
dcstx,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,5,5,10858510;16646002;22960450;29705145;30502809,2000.0;2006.0;2012.0;2018.0,"('dcstx', 'paralytic shellfish toxins')",1
dinoflagellates,gonyautoxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,5,5,19632259;28374313;28604648;30296060;35323466,2010.0;2017.0;2018.0;2022.0,"('dinoflagellates', 'gonyautoxins')",1
dinoflagellates,metabolic pathways,SEMANTIC_CO_OCCURS,BIOSYNTHETIC_SYSTEM;TAXON_GROUP,BIOSYNTHETIC_SYSTEM;TAXON_GROUP,5,5,18850059;19331657;20479965;34974311;35323466,2008.0;2009.0;2010.0;2022.0,"('dinoflagellates', 'metabolic pathways')",1
dinoflagellates,neosaxitoxin,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,5,5,1908861;19632259;25046082;28604648;30296060,1991.0;2010.0;2014.0;2017.0;2018.0,"('dinoflagellates', 'neosaxitoxin')",1
dinoflagellates,pks,SEMANTIC_CO_OCCURS,BIOSYNTHETIC_SYSTEM;TAXON_GROUP,BIOSYNTHETIC_SYSTEM;TAXON_GROUP,5,5,20479965;20935128;33084210;35031458;41702991,2010.0;2021.0;2022.0;2026.0,"('dinoflagellates', 'pks')",1
dinoflagellates,pyrodinium,SEMANTIC_CO_OCCURS,TAXON_GROUP,TAXON_GROUP,5,5,19041661;20714432;28604648;33875183;35198665,2009.0;2010.0;2017.0;2021.0;2022.0,"('dinoflagellates', 'pyrodinium')",1
dinoflagellates,sxt genes,SEMANTIC_CO_OCCURS,TAXON_GROUP,GENE,5,5,25421324;36326655;36689843;38705616;40449983,2014.0;2022.0;2023.0;2024.0;2025.0,"('dinoflagellates', 'sxt genes')",1
dinoflagellates,toxic cyanobacteria,SEMANTIC_CO_OCCURS,TAXON_GROUP,TAXON_GROUP,5,5,22628533;33875183;35031458;38705616;40449983,2013.0;2021.0;2022.0;2024.0;2025.0,"('dinoflagellates', 'toxic cyanobacteria')",1
evolution,paralytic shellfish poisoning,SEMANTIC_CO_OCCURS,EVOLUTIONARY_PROCESS;TOXIN,EVOLUTIONARY_PROCESS;TOXIN,5,5,19331657;22628533;23966031;41591172,2009.0;2013.0;2026.0,"('evolution', 'paralytic shellfish poisoning')",1
gymnodinium,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,5,5,19041661;20714432;24747603;33875178;38270276,2009.0;2010.0;2014.0;2021.0;2024.0,"('gymnodinium', 'paralytic shellfish toxins')",1
metabolic pathways,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,BIOSYNTHETIC_SYSTEM;TOXIN,BIOSYNTHETIC_SYSTEM;TOXIN,5,5,11800428;19331657;20479965;25877158;35323466,2001.0;2009.0;2010.0;2015.0;2022.0,"('metabolic pathways', 'paralytic shellfish toxins')",1
metabolic pathways,saxitoxin,SEMANTIC_CO_OCCURS,BIOSYNTHETIC_SYSTEM;TOXIN,BIOSYNTHETIC_SYSTEM;TOXIN,5,5,11800428;18850059;19331657;34974311;35323466,2001.0;2008.0;2009.0;2022.0,"('metabolic pathways', 'saxitoxin')",1
neosaxitoxin,toxin profile,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,5,5,10414862;24031789;30296060;39547124;6814018,1982.0;1999.0;2011.0;2018.0;2024.0,"('neosaxitoxin', 'toxin profile')",1
neostx,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,5,5,10858510;16646002;19632259;25046082;37888642,2000.0;2006.0;2010.0;2014.0;2023.0,"('neostx', 'paralytic shellfish toxins')",1
paralytic shellfish poisoning,toxin-producing,SEMANTIC_CO_OCCURS,TOXIN;TOXIN_PHENOTYPE,TOXIN;TOXIN_PHENOTYPE,5,5,14766924;16650472;20048055;24334673;35198665,2004.0;2006.0;2010.0;2014.0;2022.0,"('paralytic shellfish poisoning', 'toxin-producing')",1
paralytic shellfish toxins,pst-producing,SEMANTIC_CO_OCCURS,TOXIN,TOXIN_PHENOTYPE,5,5,21376073;23457475;30502809;32307073;39003021,2011.0;2013.0;2018.0;2020.0;2024.0,"('paralytic shellfish toxins', 'pst-producing')",1
paralytic shellfish toxins,toxin content,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,5,5,16646002;24031789;24956074;26239440;28678186,2006.0;2011.0;2014.0;2015.0;2017.0,"('paralytic shellfish toxins', 'toxin content')",1
pks,sxta,BIOSYNTHETIC_GENE_RELATION,GENE,BIOSYNTHETIC_SYSTEM,5,5,20935128;31936211;33084210;35031458;41702991,2010.0;2020.0;2021.0;2022.0;2026.0,"('pks', 'sxta')",1
saxitoxin,saxitoxin biosynthesis genes,GENE_ASSOCIATED_WITH_TOXIN,GENE,TOXIN,5,5,29705145;34283333;35198665;38705616;40449983,2018.0;2021.0;2022.0;2024.0;2025.0,"('saxitoxin', 'saxitoxin biosynthesis genes')",1
saxitoxin,sxtu,GENE_ASSOCIATED_WITH_TOXIN,GENE;TOXIN,GENE;TOXIN,5,5,25346253;28073495;38705616;40449983;41702991,2014.0;2016.0;2024.0;2025.0;2026.0,"('saxitoxin', 'sxtu')",1
saxitoxin biosynthesis,saxitoxin biosynthesis genes,GENE_MECHANISM_RELATION,GENE,BIOLOGICAL_MECHANISM,5,5,29705145;34283333;35198665;38705616;40449983,2018.0;2021.0;2022.0;2024.0;2025.0,"('saxitoxin biosynthesis', 'saxitoxin biosynthesis genes')",1
sxt genes,sxtg,SEMANTIC_CO_OCCURS,GENE,GENE,5,5,28073499;36326655;36689843;38705616;40449983,2016.0;2022.0;2023.0;2024.0;2025.0,"('sxt genes', 'sxtg')",1
sxta,sxtb,SEMANTIC_CO_OCCURS,GENE,GENE,5,5,22628533;24015317;31936211;38705616;40449983,2013.0;2020.0;2024.0;2025.0,"('sxta', 'sxtb')",1
sxta,temperature,ENV_FACTOR_ASSOCIATED_WITH_GENE,GENE,ENV_FACTOR,5,5,24334673;29027918;36689843;38393148;40209228,2014.0;2017.0;2023.0;2024.0;2025.0,"('sxta', 'temperature')",1
toxic cyanobacteria,toxin production,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,5,5,18461783;23648386;30079124;31614508;38786590,2008.0;2013.0;2017.0;2019.0;2024.0,"('toxic cyanobacteria', 'toxin production')",1
toxin production,toxin-producing,SEMANTIC_CO_OCCURS,TOXIN,TOXIN_PHENOTYPE,5,5,23891539;31695119;33128150;36470600;39545400,2013.0;2019.0;2021.0;2022.0;2025.0,"('toxin production', 'toxin-producing')",1
conserved,sxta,EVOLUTION_GENE_RELATION,GENE,EVOLUTIONARY_PROCESS,5,4,27907126;35031458;40449983;41702991,2016.0;2022.0;2025.0;2026.0,"('conserved', 'sxta')",1
cyanobacteria,sxt gene,SEMANTIC_CO_OCCURS,GENE,TAXON_GROUP,5,4,27907126;30296060;39003021;41591172,2016.0;2018.0;2024.0;2026.0,"('cyanobacteria', 'sxt gene')",1
homologs,paralytic shellfish poisoning,SEMANTIC_CO_OCCURS,TOXIN,EVOLUTIONARY_PROCESS,5,4,21625593;22628533;23966031;40449983,2011.0;2013.0;2025.0,"('homologs', 'paralytic shellfish poisoning')",1
homologs,saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,EVOLUTIONARY_PROCESS,5,4,21625593;22628533;23966031;40449983,2011.0;2013.0;2025.0,"('homologs', 'saxitoxin')",1
homologs,sxta,EVOLUTION_GENE_RELATION,GENE,EVOLUTIONARY_PROCESS,5,4,21625593;22628533;25421324;40449983,2011.0;2013.0;2014.0;2025.0,"('homologs', 'sxta')",1
alexandrium,gymnodinium catenatum,SEMANTIC_CO_OCCURS,SPECIES,TAXON_GROUP,4,4,23335767;33875178;38270276;40449983,2013.0;2021.0;2024.0;2025.0,"('alexandrium', 'gymnodinium catenatum')",1
alexandrium catenella,alexandrium pacificum,SEMANTIC_CO_OCCURS,SPECIES,SPECIES,4,4,35031458;36689843;38270276;38705616,2022.0;2023.0;2024.0,"('alexandrium catenella', 'alexandrium pacificum')",1
alexandrium catenella,paralytic shellfish poisoning,SPECIES_ASSOCIATED_WITH_TOXIN,SPECIES,TOXIN,4,4,33875178;33875185;35031458;36689843,2021.0;2022.0;2023.0,"('alexandrium catenella', 'paralytic shellfish poisoning')",1
alexandrium minutum,paralytic shellfish poisoning,SPECIES_ASSOCIATED_WITH_TOXIN,SPECIES,TOXIN,4,4,12565757;21625593;28073499;33875185,2003.0;2011.0;2016.0;2021.0,"('alexandrium minutum', 'paralytic shellfish poisoning')",1
alexandrium minutum,sxta,SPECIES_ASSOCIATED_WITH_GENE,GENE;SPECIES,GENE;SPECIES,4,4,21625593;23335767;28073499;33298362,2011.0;2013.0;2016.0;2020.0,"('alexandrium minutum', 'sxta')",1
biosynthesis,clade,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM;EVOLUTIONARY_PROCESS,BIOLOGICAL_MECHANISM;EVOLUTIONARY_PROCESS,4,4,32307073;37164563;38943258;41702991,2020.0;2023.0;2024.0;2026.0,"('biosynthesis', 'clade')",1
biosynthesis,gymnodinium,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM;TAXON_GROUP,BIOLOGICAL_MECHANISM;TAXON_GROUP,4,4,23335767;38270276;40449983,2013.0;2024.0;2025.0,"('biosynthesis', 'gymnodinium')",1
biosynthesis,gymnodinium catenatum,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM;SPECIES,BIOLOGICAL_MECHANISM;SPECIES,4,4,23335767;38270276;40449983,2013.0;2024.0;2025.0,"('biosynthesis', 'gymnodinium catenatum')",1
biosynthesis,pst biosynthesis,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM,BIOLOGICAL_MECHANISM,4,4,19331657;26316331;26417864;30983320,2009.0;2015.0;2016.0;2019.0,"('biosynthesis', 'pst biosynthesis')",1
